Domain,Area,Year,Value,ValueK
Emissions intensities,Canada,1961,34421.5638,34.42
Emissions intensities,Canada,1962,34797.0843,34.8
Emissions intensities,Canada,1963,35161.7103,35.16
Emissions intensities,Canada,1964,36195.7102,36.2
Emissions intensities,Canada,1965,37072.3591,37.07
Emissions intensities,Canada,1966,35673.5067,35.67
Emissions intensities,Canada,1967,35598.4667,35.6
Emissions intensities,Canada,1968,35434.3048,35.43
Emissions intensities,Canada,1969,34652.7696,34.65
Emissions intensities,Canada,1970,35356.4456,35.36
Emissions intensities,Canada,1971,35444.6629,35.44
Emissions intensities,Canada,1972,35853.4686,35.85
Emissions intensities,Canada,1973,36463.5399,36.46
Emissions intensities,Canada,1974,37423.36,37.42
Emissions intensities,Canada,1975,38504.3093,38.5
Emissions intensities,Canada,1976,37849.01,37.85
Emissions intensities,Canada,1977,36504.5188,36.5
Emissions intensities,Canada,1978,34848.862,34.85
Emissions intensities,Canada,1979,34156.2624,34.16
Emissions intensities,Canada,1980,34912.7297,34.91
Emissions intensities,Canada,1981,35017.0091,35.02
Emissions intensities,Canada,1982,34976.6175,34.98
Emissions intensities,Canada,1983,34191.9581,34.19
Emissions intensities,Canada,1984,33696.0149,33.7
Emissions intensities,Canada,1985,32972.4515,32.97
Emissions intensities,Canada,1986,31741.8132,31.74
Emissions intensities,Canada,1987,30802.7143,30.8
Emissions intensities,Canada,1988,31213.2966,31.21
Emissions intensities,Canada,1989,31683.573,31.68
Emissions intensities,Canada,1990,31875.9215,31.88
Emissions intensities,Canada,1991,31775.8771,31.78
Emissions intensities,Canada,1992,32923.608,32.92
Emissions intensities,Canada,1993,32768.0447,32.77
Emissions intensities,Canada,1994,33050.2499,33.05
Emissions intensities,Canada,1995,34812.9541,34.81
Emissions intensities,Canada,1996,36302.7539,36.3
Emissions intensities,Canada,1997,36240.5151,36.24
Emissions intensities,Canada,1998,36185.2038,36.19
Emissions intensities,Canada,1999,36041.8142,36.04
Emissions intensities,Canada,2000,36054.1947,36.05
Emissions intensities,Canada,2001,37126.037,37.13
Emissions intensities,Canada,2002,37721.0658,37.72
Emissions intensities,Canada,2003,37230.0316,37.23
Emissions intensities,Canada,2004,39342.0049,39.34
Emissions intensities,Canada,2005,40060.4251,40.06
Emissions intensities,Canada,2006,39541.8318,39.54
Emissions intensities,Canada,2007,38043.364,38.04
Emissions intensities,Canada,2008,36691.4609,36.69
Emissions intensities,Canada,2009,35093.9861,35.09
Emissions intensities,Canada,2010,34387.0909,34.39
Emissions intensities,Canada,2011,33430.416,33.43
Emissions intensities,Canada,2012,33621.0929,33.62
Emissions intensities,Canada,2013,33644.23,33.64
Emissions intensities,Canada,2014,33291.6958,33.29
Emissions intensities,Canada,2015,32564.1894,32.56
Emissions intensities,Canada,2016,32682.9897,32.68
Emissions intensities,Canada,2017,32671.3036,32.67
Emissions intensities,Canada,2018,32930.6218,32.93
Emissions intensities,Canada,2019,32750.2195,32.75
Emissions intensities,Canada,2020,32289.5065,32.29
