Domain,Area,Year,Value,ValueK
Emissions intensities,Germany,1961,67112.4535,67.11
Emissions intensities,Germany,1962,68387.2685,68.39
Emissions intensities,Germany,1963,68072.2154,68.07
Emissions intensities,Germany,1964,67785.7781,67.79
Emissions intensities,Germany,1965,68380.5567,68.38
Emissions intensities,Germany,1966,70023.2461,70.02
Emissions intensities,Germany,1967,71134.8274,71.13
Emissions intensities,Germany,1968,71667.9002,71.67
Emissions intensities,Germany,1969,72046.6486,72.05
Emissions intensities,Germany,1970,72039.9699,72.04
Emissions intensities,Germany,1971,71844.0467,71.84
Emissions intensities,Germany,1972,70911.7503,70.91
Emissions intensities,Germany,1973,71848.2769,71.85
Emissions intensities,Germany,1974,73425.7886,73.43
Emissions intensities,Germany,1975,73714.3397,73.71
Emissions intensities,Germany,1976,73589.1729,73.59
Emissions intensities,Germany,1977,73735.2519,73.74
Emissions intensities,Germany,1978,74938.3897,74.94
Emissions intensities,Germany,1979,75817.4179,75.82
Emissions intensities,Germany,1980,76032.3528,76.03
Emissions intensities,Germany,1981,76835.2715,76.84
Emissions intensities,Germany,1982,77157.5137,77.16
Emissions intensities,Germany,1983,77035.921,77.04
Emissions intensities,Germany,1984,78417.8244,78.42
Emissions intensities,Germany,1985,78698.5551,78.7
Emissions intensities,Germany,1986,78414.725,78.41
Emissions intensities,Germany,1987,76873.8248,76.87
Emissions intensities,Germany,1988,75267.5486,75.27
Emissions intensities,Germany,1989,74145.8638,74.15
Emissions intensities,Germany,1990,72333.8997,72.33
Emissions intensities,Germany,1991,67402.2725,67.4
Emissions intensities,Germany,1992,60062.4469,60.06
Emissions intensities,Germany,1993,57994.8206,57.99
Emissions intensities,Germany,1994,57146.207,57.15
Emissions intensities,Germany,1995,56873.7149,56.87
Emissions intensities,Germany,1996,56323.9846,56.32
Emissions intensities,Germany,1997,56082.7863,56.08
Emissions intensities,Germany,1998,54496.0735,54.5
Emissions intensities,Germany,1999,53853.5663,53.85
Emissions intensities,Germany,2000,52632.5676,52.63
Emissions intensities,Germany,2001,52244.3245,52.24
Emissions intensities,Germany,2002,51381.454,51.38
Emissions intensities,Germany,2003,49937.3763,49.94
Emissions intensities,Germany,2004,48558.4478,48.56
Emissions intensities,Germany,2005,48318.9119,48.32
Emissions intensities,Germany,2006,47245.5996,47.25
Emissions intensities,Germany,2007,47276.3724,47.28
Emissions intensities,Germany,2008,48101.2078,48.1
Emissions intensities,Germany,2009,47986.9112,47.99
Emissions intensities,Germany,2010,47431.4436,47.43
Emissions intensities,Germany,2011,47040.7023,47.04
Emissions intensities,Germany,2012,47137.2043,47.14
Emissions intensities,Germany,2013,47661.3627,47.66
Emissions intensities,Germany,2014,48029.7811,48.03
Emissions intensities,Germany,2015,47600.8069,47.6
Emissions intensities,Germany,2016,47054.9606,47.05
Emissions intensities,Germany,2017,46668.9352,46.67
Emissions intensities,Germany,2018,45364.80609,45.36
Emissions intensities,Germany,2019,44346.75492,44.35
Emissions intensities,Germany,2020,43370.57865,43.37
