Domain,Area,Year,Value,ValueK
Emissions intensities,Indonesia,1961,13937.347,13.94
Emissions intensities,Indonesia,1962,14309.1898,14.31
Emissions intensities,Indonesia,1963,14270.8601,14.27
Emissions intensities,Indonesia,1964,14292.2263,14.29
Emissions intensities,Indonesia,1965,15192.1575,15.19
Emissions intensities,Indonesia,1966,15065.0045,15.07
Emissions intensities,Indonesia,1967,14721.9285,14.72
Emissions intensities,Indonesia,1968,17191.0202,17.19
Emissions intensities,Indonesia,1969,14046.7233,14.05
Emissions intensities,Indonesia,1970,13418.0305,13.42
Emissions intensities,Indonesia,1971,13820.3874,13.82
Emissions intensities,Indonesia,1972,13960.6053,13.96
Emissions intensities,Indonesia,1973,13930.9333,13.93
Emissions intensities,Indonesia,1974,14057.3247,14.06
Emissions intensities,Indonesia,1975,13739.0823,13.74
Emissions intensities,Indonesia,1976,13922.2784,13.92
Emissions intensities,Indonesia,1977,13976.7733,13.98
Emissions intensities,Indonesia,1978,14295.0428,14.3
Emissions intensities,Indonesia,1979,14468.3624,14.47
Emissions intensities,Indonesia,1980,14726.4931,14.73
Emissions intensities,Indonesia,1981,15091.2551,15.09
Emissions intensities,Indonesia,1982,15378.0936,15.38
Emissions intensities,Indonesia,1983,20527.0959,20.53
Emissions intensities,Indonesia,1984,21219.4453,21.22
Emissions intensities,Indonesia,1985,21679.886,21.68
Emissions intensities,Indonesia,1986,22470.5743,22.47
Emissions intensities,Indonesia,1987,22786.0731,22.79
Emissions intensities,Indonesia,1988,23511.2715,23.51
Emissions intensities,Indonesia,1989,24445.4493,24.45
Emissions intensities,Indonesia,1990,25418.913,25.42
Emissions intensities,Indonesia,1991,26419.8586,26.42
Emissions intensities,Indonesia,1992,27920.4662,27.92
Emissions intensities,Indonesia,1993,27583.4665,27.58
Emissions intensities,Indonesia,1994,29325.5991,29.33
Emissions intensities,Indonesia,1995,29780.2975,29.78
Emissions intensities,Indonesia,1996,30799.8924,30.8
Emissions intensities,Indonesia,1997,30721.1303,30.72
Emissions intensities,Indonesia,1998,28583.8994,28.58
Emissions intensities,Indonesia,1999,27556.92,27.56
Emissions intensities,Indonesia,2000,27686.8481,27.69
Emissions intensities,Indonesia,2001,28250.3403,28.25
Emissions intensities,Indonesia,2002,29748.3407,29.75
Emissions intensities,Indonesia,2003,28389.9648,28.39
Emissions intensities,Indonesia,2004,28273.2844,28.27
Emissions intensities,Indonesia,2005,28722.6503,28.72
Emissions intensities,Indonesia,2006,29385.9639,29.39
Emissions intensities,Indonesia,2007,31117.9806,31.12
Emissions intensities,Indonesia,2008,32554.87,32.55
Emissions intensities,Indonesia,2009,34190.0413,34.19
Emissions intensities,Indonesia,2010,36025.0583,36.03
Emissions intensities,Indonesia,2011,39395.9807,39.4
Emissions intensities,Indonesia,2012,42521.1591,42.52
Emissions intensities,Indonesia,2013,37327.1661,37.33
Emissions intensities,Indonesia,2014,41260.1539,41.26
Emissions intensities,Indonesia,2015,42981.1119,42.98
Emissions intensities,Indonesia,2016,44150.0802,44.15
Emissions intensities,Indonesia,2017,50665.9896,50.67
Emissions intensities,Indonesia,2018,51638.998,51.64
Emissions intensities,Indonesia,2019,52762.9534,52.76
Emissions intensities,Indonesia,2020,53315.2461,53.32
