Domain,Area,Year,Value,ValueK
Emissions intensities,Mexico,1961,38126.2215,38.13
Emissions intensities,Mexico,1962,39201.0023,39.2
Emissions intensities,Mexico,1963,40973.372,40.97
Emissions intensities,Mexico,1964,42892.5931,42.89
Emissions intensities,Mexico,1965,44766.3865,44.77
Emissions intensities,Mexico,1966,47319.6914,47.32
Emissions intensities,Mexico,1967,48630.5574,48.63
Emissions intensities,Mexico,1968,49321.5091,49.32
Emissions intensities,Mexico,1969,50045.4932,50.05
Emissions intensities,Mexico,1970,52237.8399,52.24
Emissions intensities,Mexico,1971,50987.062,50.99
Emissions intensities,Mexico,1972,51296.9129,51.3
Emissions intensities,Mexico,1973,51263.9137,51.26
Emissions intensities,Mexico,1974,53212.5864,53.21
Emissions intensities,Mexico,1975,55918.7787,55.92
Emissions intensities,Mexico,1976,58484.476,58.48
Emissions intensities,Mexico,1977,59894.2439,59.89
Emissions intensities,Mexico,1978,60645.657,60.65
Emissions intensities,Mexico,1979,61184.5482,61.18
Emissions intensities,Mexico,1980,64010.5505,64.01
Emissions intensities,Mexico,1981,66590.106,66.59
Emissions intensities,Mexico,1982,68347.2756,68.35
Emissions intensities,Mexico,1983,69324.0743,69.32
Emissions intensities,Mexico,1984,70120.5562,70.12
Emissions intensities,Mexico,1985,72157.5271,72.16
Emissions intensities,Mexico,1986,73884.455,73.88
Emissions intensities,Mexico,1987,71828.5057,71.83
Emissions intensities,Mexico,1988,71339.4299,71.34
Emissions intensities,Mexico,1989,75189.971,75.19
Emissions intensities,Mexico,1990,72950.5778,72.95
Emissions intensities,Mexico,1991,72328.8757,72.33
Emissions intensities,Mexico,1992,71011.9368,71.01
Emissions intensities,Mexico,1993,72940.2675,72.94
Emissions intensities,Mexico,1994,72539.3885,72.54
Emissions intensities,Mexico,1995,71621.2979,71.62
Emissions intensities,Mexico,1996,69347.1198,69.35
Emissions intensities,Mexico,1997,70333.0433,70.33
Emissions intensities,Mexico,1998,70711.4204,70.71
Emissions intensities,Mexico,1999,69184.4867,69.18
Emissions intensities,Mexico,2000,69927.2916,69.93
Emissions intensities,Mexico,2001,70248.7607,70.25
Emissions intensities,Mexico,2002,71994.1887,71.99
Emissions intensities,Mexico,2003,72102.3377,72.1
Emissions intensities,Mexico,2004,71880.3084,71.88
Emissions intensities,Mexico,2005,71482.5903,71.48
Emissions intensities,Mexico,2006,71992.3519,71.99
Emissions intensities,Mexico,2007,72556.4706,72.56
Emissions intensities,Mexico,2008,73402.6743,73.4
Emissions intensities,Mexico,2009,74576.4529,74.58
Emissions intensities,Mexico,2010,75364.2381,75.36
Emissions intensities,Mexico,2011,75990.4519,75.99
Emissions intensities,Mexico,2012,74051.0288,74.05
Emissions intensities,Mexico,2013,75122.5519,75.12
Emissions intensities,Mexico,2014,76237.6967,76.24
Emissions intensities,Mexico,2015,77502.0266,77.5
Emissions intensities,Mexico,2016,78226.1525,78.23
Emissions intensities,Mexico,2017,79381.2056,79.38
Emissions intensities,Mexico,2018,80626.4221,80.63
Emissions intensities,Mexico,2019,81629.3462,81.63
Emissions intensities,Mexico,2020,82619.238,82.62
