Domain,Area,Year,Value,ValueK
Emissions intensities,New Zealand,1961,35172.9668,35.17
Emissions intensities,New Zealand,1962,35784.6682,35.78
Emissions intensities,New Zealand,1963,36503.8862,36.5
Emissions intensities,New Zealand,1964,36924.6818,36.92
Emissions intensities,New Zealand,1965,38034.6415,38.03
Emissions intensities,New Zealand,1966,40322.0129,40.32
Emissions intensities,New Zealand,1967,42528.833,42.53
Emissions intensities,New Zealand,1968,44010.6212,44.01
Emissions intensities,New Zealand,1969,44740.002,44.74
Emissions intensities,New Zealand,1970,45295.4747,45.3
Emissions intensities,New Zealand,1971,43045.9952,43.05
Emissions intensities,New Zealand,1972,44862.3783,44.86
Emissions intensities,New Zealand,1973,44003.6416,44
Emissions intensities,New Zealand,1974,44542.5355,44.54
Emissions intensities,New Zealand,1975,44321.2909,44.32
Emissions intensities,New Zealand,1976,44022.9042,44.02
Emissions intensities,New Zealand,1977,44277.4061,44.28
Emissions intensities,New Zealand,1978,44612.5446,44.61
Emissions intensities,New Zealand,1979,44124.6711,44.12
Emissions intensities,New Zealand,1980,46647.3514,46.65
Emissions intensities,New Zealand,1981,46778.4009,46.78
Emissions intensities,New Zealand,1982,46701.7523,46.7
Emissions intensities,New Zealand,1983,46184.5815,46.18
Emissions intensities,New Zealand,1984,46498.344,46.5
Emissions intensities,New Zealand,1985,46337.4685,46.34
Emissions intensities,New Zealand,1986,47224.7708,47.22
Emissions intensities,New Zealand,1987,45422.7619,45.42
Emissions intensities,New Zealand,1988,45761.4356,45.76
Emissions intensities,New Zealand,1989,43892.7324,43.89
Emissions intensities,New Zealand,1990,43533.8564,43.53
Emissions intensities,New Zealand,1991,42563.4281,42.56
Emissions intensities,New Zealand,1992,41822.2822,41.82
Emissions intensities,New Zealand,1993,41490.816,41.49
Emissions intensities,New Zealand,1994,42837.7989,42.84
Emissions intensities,New Zealand,1995,43752.6139,43.75
Emissions intensities,New Zealand,1996,42752.4612,42.75
Emissions intensities,New Zealand,1997,42821.5161,42.82
Emissions intensities,New Zealand,1998,41719.9586,41.72
Emissions intensities,New Zealand,1999,42202.1146,42.2
Emissions intensities,New Zealand,2000,41108.8128,41.11
Emissions intensities,New Zealand,2001,41269.399,41.27
Emissions intensities,New Zealand,2002,42296.1558,42.3
Emissions intensities,New Zealand,2003,42762.1108,42.76
Emissions intensities,New Zealand,2004,42623.3113,42.62
Emissions intensities,New Zealand,2005,42612.8571,42.61
Emissions intensities,New Zealand,2006,42955.8353,42.96
Emissions intensities,New Zealand,2007,42551.7919,42.55
Emissions intensities,New Zealand,2008,41426.4558,41.43
Emissions intensities,New Zealand,2009,41794.4069,41.79
Emissions intensities,New Zealand,2010,41751.7011,41.75
Emissions intensities,New Zealand,2011,41822.4955,41.82
Emissions intensities,New Zealand,2012,42532.5385,42.53
Emissions intensities,New Zealand,2013,42353.9224,42.35
Emissions intensities,New Zealand,2014,42712.2445,42.71
Emissions intensities,New Zealand,2015,41498.1477,41.5
Emissions intensities,New Zealand,2016,41474.3752,41.47
Emissions intensities,New Zealand,2017,41206.3964,41.21
Emissions intensities,New Zealand,2018,40988.8876,40.99
Emissions intensities,New Zealand,2019,40710.2623,40.71
Emissions intensities,New Zealand,2020,40207.2289,40.21
