Domain,Area,Year,Value,ValueK
Emissions intensities,Nigeria,1961,8860.4688,8.86
Emissions intensities,Nigeria,1962,9318.672,9.32
Emissions intensities,Nigeria,1963,9833.8792,9.83
Emissions intensities,Nigeria,1964,10368.0086,10.37
Emissions intensities,Nigeria,1965,10870.7397,10.87
Emissions intensities,Nigeria,1966,11373.7838,11.37
Emissions intensities,Nigeria,1967,11940.8266,11.94
Emissions intensities,Nigeria,1968,12591.7331,12.59
Emissions intensities,Nigeria,1969,13319.1014,13.32
Emissions intensities,Nigeria,1970,13925.3534,13.93
Emissions intensities,Nigeria,1971,14572.194,14.57
Emissions intensities,Nigeria,1972,15300.8708,15.3
Emissions intensities,Nigeria,1973,16144.4063,16.14
Emissions intensities,Nigeria,1974,16779.6815,16.78
Emissions intensities,Nigeria,1975,17466.0368,17.47
Emissions intensities,Nigeria,1976,18406.4674,18.41
Emissions intensities,Nigeria,1977,19129.7503,19.13
Emissions intensities,Nigeria,1978,19966.3762,19.97
Emissions intensities,Nigeria,1979,20749.8854,20.75
Emissions intensities,Nigeria,1980,21434.0185,21.43
Emissions intensities,Nigeria,1981,21929.9108,21.93
Emissions intensities,Nigeria,1982,22604.3482,22.6
Emissions intensities,Nigeria,1983,23263.4077,23.26
Emissions intensities,Nigeria,1984,23869.6212,23.87
Emissions intensities,Nigeria,1985,24595.7853,24.6
Emissions intensities,Nigeria,1986,25661.4245,25.66
Emissions intensities,Nigeria,1987,26512.2959,26.51
Emissions intensities,Nigeria,1988,27428.9432,27.43
Emissions intensities,Nigeria,1989,28372.3916,28.37
Emissions intensities,Nigeria,1990,28622.3017,28.62
Emissions intensities,Nigeria,1991,28920.5897,28.92
Emissions intensities,Nigeria,1992,29304.5109,29.3
Emissions intensities,Nigeria,1993,30670.0984,30.67
Emissions intensities,Nigeria,1994,31654.8913,31.65
Emissions intensities,Nigeria,1995,32664.4592,32.66
Emissions intensities,Nigeria,1996,33561.9441,33.56
Emissions intensities,Nigeria,1997,34605.5958,34.61
Emissions intensities,Nigeria,1998,35787.9839,35.79
Emissions intensities,Nigeria,1999,37041.2762,37.04
Emissions intensities,Nigeria,2000,38073.2979,38.07
Emissions intensities,Nigeria,2001,39447.0915,39.45
Emissions intensities,Nigeria,2002,40186.4979,40.19
Emissions intensities,Nigeria,2003,40549.664,40.55
Emissions intensities,Nigeria,2004,41792.2145,41.79
Emissions intensities,Nigeria,2005,42636.007,42.64
Emissions intensities,Nigeria,2006,43437.6142,43.44
Emissions intensities,Nigeria,2007,44209.868,44.21
Emissions intensities,Nigeria,2008,44848.4543,44.85
Emissions intensities,Nigeria,2009,45795.2486,45.8
Emissions intensities,Nigeria,2010,46523.7171,46.52
Emissions intensities,Nigeria,2011,52667.6925,52.67
Emissions intensities,Nigeria,2012,53626.1564,53.63
Emissions intensities,Nigeria,2013,54431.5338,54.43
Emissions intensities,Nigeria,2014,55502.5745,55.5
Emissions intensities,Nigeria,2015,56209.6719,56.21
Emissions intensities,Nigeria,2016,57244.5399,57.24
Emissions intensities,Nigeria,2017,58281.6759,58.28
Emissions intensities,Nigeria,2018,59316.5559,59.32
Emissions intensities,Nigeria,2019,60480.9199,60.48
Emissions intensities,Nigeria,2020,61220.1589,61.22
