Domain,Area,Year,Value,ValueK
Emissions intensities,Pakistan,1961,19080.7878,19.08
Emissions intensities,Pakistan,1962,19338.2228,19.34
Emissions intensities,Pakistan,1963,19593.0171,19.59
Emissions intensities,Pakistan,1964,19839.9623,19.84
Emissions intensities,Pakistan,1965,20115.6435,20.12
Emissions intensities,Pakistan,1966,20407.6853,20.41
Emissions intensities,Pakistan,1967,20590.0518,20.59
Emissions intensities,Pakistan,1968,20831.4537,20.83
Emissions intensities,Pakistan,1969,21060.177,21.06
Emissions intensities,Pakistan,1970,21394.1754,21.39
Emissions intensities,Pakistan,1971,21702.7089,21.7
Emissions intensities,Pakistan,1972,22150.8307,22.15
Emissions intensities,Pakistan,1973,22741.3969,22.74
Emissions intensities,Pakistan,1974,23372.2661,23.37
Emissions intensities,Pakistan,1975,24042.5832,24.04
Emissions intensities,Pakistan,1976,24770.2097,24.77
Emissions intensities,Pakistan,1977,25553.038,25.55
Emissions intensities,Pakistan,1978,26392.1851,26.39
Emissions intensities,Pakistan,1979,27299.5117,27.3
Emissions intensities,Pakistan,1980,26113.1262,26.11
Emissions intensities,Pakistan,1981,27077.8535,27.08
Emissions intensities,Pakistan,1982,27920.7398,27.92
Emissions intensities,Pakistan,1983,28501.3232,28.5
Emissions intensities,Pakistan,1984,29090.4688,29.09
Emissions intensities,Pakistan,1985,29698.5437,29.7
Emissions intensities,Pakistan,1986,31792.2956,31.79
Emissions intensities,Pakistan,1987,32260.7728,32.26
Emissions intensities,Pakistan,1988,32839.42,32.84
Emissions intensities,Pakistan,1989,33320.3148,33.32
Emissions intensities,Pakistan,1990,33817.0638,33.82
Emissions intensities,Pakistan,1991,34307.3332,34.31
Emissions intensities,Pakistan,1992,34863.8711,34.86
Emissions intensities,Pakistan,1993,35462.1824,35.46
Emissions intensities,Pakistan,1994,36159.3835,36.16
Emissions intensities,Pakistan,1995,36848.7295,36.85
Emissions intensities,Pakistan,1996,39743.9085,39.74
Emissions intensities,Pakistan,1997,40593.429,40.59
Emissions intensities,Pakistan,1998,41235.0658,41.24
Emissions intensities,Pakistan,1999,42525.4297,42.53
Emissions intensities,Pakistan,2000,43195.9472,43.2
Emissions intensities,Pakistan,2001,44333.4527,44.33
Emissions intensities,Pakistan,2002,45513.2181,45.51
Emissions intensities,Pakistan,2003,46534.2612,46.53
Emissions intensities,Pakistan,2004,47585.2638,47.59
Emissions intensities,Pakistan,2005,48636.8474,48.64
Emissions intensities,Pakistan,2006,55072.1437,55.07
Emissions intensities,Pakistan,2007,56917.3602,56.92
Emissions intensities,Pakistan,2008,58832.3004,58.83
Emissions intensities,Pakistan,2009,60820.2772,60.82
Emissions intensities,Pakistan,2010,62516.5492,62.52
Emissions intensities,Pakistan,2011,64653.1236,64.65
Emissions intensities,Pakistan,2012,66871.4281,66.87
Emissions intensities,Pakistan,2013,68983.7283,68.98
Emissions intensities,Pakistan,2014,71375.1788,71.38
Emissions intensities,Pakistan,2015,73856.6294,73.86
Emissions intensities,Pakistan,2016,77594.2477,77.59
Emissions intensities,Pakistan,2017,81603.2348,81.6
Emissions intensities,Pakistan,2018,84585.3701,84.59
Emissions intensities,Pakistan,2019,87684.1324,87.68
Emissions intensities,Pakistan,2020,90919.2944,90.92
