Domain,Area,Year,Value,ValueK
Emissions intensities,South Africa,1961,26649.7246,26.65
Emissions intensities,South Africa,1962,26765.5899,26.77
Emissions intensities,South Africa,1963,26748.6888,26.75
Emissions intensities,South Africa,1964,26423.7339,26.42
Emissions intensities,South Africa,1965,26430.561,26.43
Emissions intensities,South Africa,1966,24532.8174,24.53
Emissions intensities,South Africa,1967,24390.1088,24.39
Emissions intensities,South Africa,1968,24789.1075,24.79
Emissions intensities,South Africa,1969,25204.6866,25.2
Emissions intensities,South Africa,1970,24574.3636,24.57
Emissions intensities,South Africa,1971,24049.7725,24.05
Emissions intensities,South Africa,1972,23787.9993,23.79
Emissions intensities,South Africa,1973,24359.8923,24.36
Emissions intensities,South Africa,1974,24808.4419,24.81
Emissions intensities,South Africa,1975,25361.1751,25.36
Emissions intensities,South Africa,1976,25472.6221,25.47
Emissions intensities,South Africa,1977,26042.7847,26.04
Emissions intensities,South Africa,1978,26237.3177,26.24
Emissions intensities,South Africa,1979,27476.2695,27.48
Emissions intensities,South Africa,1980,26721.3806,26.72
Emissions intensities,South Africa,1981,25869.4069,25.87
Emissions intensities,South Africa,1982,26472.4902,26.47
Emissions intensities,South Africa,1983,26559.8121,26.56
Emissions intensities,South Africa,1984,25808.2869,25.81
Emissions intensities,South Africa,1985,24376.127,24.38
Emissions intensities,South Africa,1986,24321.9956,24.32
Emissions intensities,South Africa,1987,24616.507,24.62
Emissions intensities,South Africa,1988,24893.1615,24.89
Emissions intensities,South Africa,1989,25688.1599,25.69
Emissions intensities,South Africa,1990,26912.4284,26.91
Emissions intensities,South Africa,1991,27263.2555,27.26
Emissions intensities,South Africa,1992,26881.6503,26.88
Emissions intensities,South Africa,1993,25885.4855,25.89
Emissions intensities,South Africa,1994,25188.1021,25.19
Emissions intensities,South Africa,1995,25365.4979,25.37
Emissions intensities,South Africa,1996,26005.0267,26.01
Emissions intensities,South Africa,1997,26574.9893,26.57
Emissions intensities,South Africa,1998,26978.8218,26.98
Emissions intensities,South Africa,1999,26921.2416,26.92
Emissions intensities,South Africa,2000,26861.3927,26.86
Emissions intensities,South Africa,2001,26809.404,26.81
Emissions intensities,South Africa,2002,26341.5044,26.34
Emissions intensities,South Africa,2003,26101.3307,26.1
Emissions intensities,South Africa,2004,25962.8181,25.96
Emissions intensities,South Africa,2005,26245.4548,26.25
Emissions intensities,South Africa,2006,25862.7128,25.86
Emissions intensities,South Africa,2007,26398.8373,26.4
Emissions intensities,South Africa,2008,26630.0707,26.63
Emissions intensities,South Africa,2009,26501.3443,26.5
Emissions intensities,South Africa,2010,26384.6236,26.38
Emissions intensities,South Africa,2011,26255.8892,26.26
Emissions intensities,South Africa,2012,26503.4721,26.5
Emissions intensities,South Africa,2013,26350.4239,26.35
Emissions intensities,South Africa,2014,26290.8236,26.29
Emissions intensities,South Africa,2015,25915.9308,25.92
Emissions intensities,South Africa,2016,25378.7857,25.38
Emissions intensities,South Africa,2017,24687.3272,24.69
Emissions intensities,South Africa,2018,24401.3552,24.4
Emissions intensities,South Africa,2019,24019.8487,24.02
Emissions intensities,South Africa,2020,23522.7904,23.52
