Domain,Area,Year,Value,ValueK
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1961,48542.1625,48.54
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1962,46526.0047,46.53
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1963,46102.2832,46.1
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1964,46017.9783,46.02
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1965,47023.8198,47.02
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1966,47412.7575,47.41
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1967,47413.5146,47.41
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1968,46862.5047,46.86
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1969,47128.4598,47.13
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1970,47543.8453,47.54
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1971,48131.6249,48.13
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1972,50107.4851,50.11
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1973,52939.2979,52.94
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1974,54367.4485,54.37
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1975,52904.831,52.9
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1976,51138.4257,51.14
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1977,47883.6615,47.88
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1978,47830.632,47.83
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1979,48046.1196,48.05
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1980,47543.7716,47.54
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1981,46944.6897,46.94
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1982,47422.2933,47.42
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1983,47929.6895,47.93
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1984,47999.0557,48
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1985,47292.1342,47.29
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1986,50579.751,50.58
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1987,50374.06,50.37
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1988,50003.7992,50
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1989,50453.9229,50.45
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1990,50689.0813,50.69
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1991,50058.2831,50.06
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1992,50158.5715,50.16
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1993,49993.4728,49.99
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1994,50132.3659,50.13
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1995,49392.8334,49.39
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1996,49350.9295,49.35
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1997,48707.1432,48.71
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1998,48833.7615,48.83
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,1999,48437.5882,48.44
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2000,46636.1449,46.64
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2001,43283.533,43.28
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2002,42261.2447,42.26
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2003,42429.5083,42.43
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2004,42387.4974,42.39
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2005,42242.1181,42.24
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2006,41606.6601,41.61
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2007,40662.1407,40.66
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2008,39786.2496,39.79
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2009,38905.6647,38.91
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2010,38925.8808,38.93
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2011,38626.1985,38.63
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2012,38691.0612,38.69
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2013,38896.0156,38.9
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2014,39313.2507,39.31
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2015,39493.2903,39.49
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2016,39986.4164,39.99
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2017,40278.8381,40.28
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2018,39726.9965,39.73
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2019,39304.4043,39.3
Emissions intensities,United Kingdom of Great Britain and Northern Ireland,2020,38712.9541,38.71
