Domain,Area,Year,Value,ValueK,MeatType,ValueP
Emissions intensities,Australia,1961,100607.5738,100.61,Meat Cattle,58202.231
Emissions intensities,Australia,1962,104160.1181,104.16,Milk Cattle,6114.9736
Emissions intensities,Australia,1963,105646.0446,105.65,Meat Goat,950.439
Emissions intensities,Australia,1964,108776.0745,108.78,Meat Sheep,25283.1584
Emissions intensities,Australia,1965,110180.0041,110.18,Meat Chicken,274.7816
Emissions intensities,Australia,1966,103396.6046,103.4,Egg,83.2397
Emissions intensities,Australia,1967,106510.6648,106.51,Pig,1253.5247
Emissions intensities,Australia,1968,109674.5671,109.67,,
Emissions intensities,Australia,1969,115609.3849,115.61,,
Emissions intensities,Australia,1970,121234.0701,121.23,,
Emissions intensities,Australia,1971,125644.3351,125.64,,
Emissions intensities,Australia,1972,127788.7318,127.79,,
Emissions intensities,Australia,1973,123823.4084,123.82,,
Emissions intensities,Australia,1974,129092.6686,129.09,,
Emissions intensities,Australia,1975,135782.4243,135.78,,
Emissions intensities,Australia,1976,136219.2512,136.22,,
Emissions intensities,Australia,1977,126824.3309,126.82,,
Emissions intensities,Australia,1978,120042.8232,120.04,,
Emissions intensities,Australia,1979,115599.2337,115.6,,
Emissions intensities,Australia,1980,114104.275,114.1,,
Emissions intensities,Australia,1981,110982.4042,110.98,,
Emissions intensities,Australia,1982,110732.9352,110.73,,
Emissions intensities,Australia,1983,104246.8185,104.25,,
Emissions intensities,Australia,1984,105616.5616,105.62,,
Emissions intensities,Australia,1985,110665.6844,110.67,,
Emissions intensities,Australia,1986,111444.4551,111.44,,
Emissions intensities,Australia,1987,108649.0237,108.65,,
Emissions intensities,Australia,1988,109773.5546,109.77,,
Emissions intensities,Australia,1989,114271.915,114.27,,
Emissions intensities,Australia,1990,119116.4821,119.12,,
Emissions intensities,Australia,1991,117757.3034,117.76,,
Emissions intensities,Australia,1992,113271.9027,113.27,,
Emissions intensities,Australia,1993,110134.183,110.13,,
Emissions intensities,Australia,1994,112408.5241,112.41,,
Emissions intensities,Australia,1995,108160.1423,108.16,,
Emissions intensities,Australia,1996,109893.1401,109.89,,
Emissions intensities,Australia,1997,110728.4773,110.73,,
Emissions intensities,Australia,1998,110183.3715,110.18,,
Emissions intensities,Australia,1999,108877.467,108.88,,
Emissions intensities,Australia,2000,112375.5952,112.38,,
Emissions intensities,Australia,2001,110221.999,110.22,,
Emissions intensities,Australia,2002,109060.8698,109.06,,
Emissions intensities,Australia,2003,103464.7745,103.46,,
Emissions intensities,Australia,2004,106073.7329,106.07,,
Emissions intensities,Australia,2005,106723.0519,106.72,,
Emissions intensities,Australia,2006,104665.0105,104.67,,
Emissions intensities,Australia,2007,101552.6166,101.55,,
Emissions intensities,Australia,2008,96453.2756,96.45,,
Emissions intensities,Australia,2009,96573.4824,96.57,,
Emissions intensities,Australia,2010,91941.8688,91.94,,
Emissions intensities,Australia,2011,97971.6935,97.97,,
Emissions intensities,Australia,2012,98493.976,98.49,,
Emissions intensities,Australia,2013,100796.7296,100.8,,
Emissions intensities,Australia,2014,99363.4791,99.36,,
Emissions intensities,Australia,2015,94810.7096,94.81,,
Emissions intensities,Australia,2016,87680.6775,87.68,,
Emissions intensities,Australia,2017,92162.348,92.16,,
Emissions intensities,Australia,2018,92054.2088,92.05,,
Emissions intensities,Australia,2019,86316.5374,86.32,,
Emissions intensities,Australia,2020,82610.287,82.61,,
