Domain,Area,Year,Value,ValueK,MeatType,ValueP
Emissions intensities,France,1961,67033.0878,67.03,Meat Cattle,33852.9991
Emissions intensities,France,1962,69405.7353,69.41,Milk Cattle,16918.4398
Emissions intensities,France,1963,68155.291,68.16,Meat Goat,100.9074
Emissions intensities,France,1964,67384.0606,67.38,Meat Sheep,1829.5626
Emissions intensities,France,1965,68283.1096,68.28,Meat Chicken,638.2201
Emissions intensities,France,1966,69208.9554,69.21,Egg,626.209
Emissions intensities,France,1967,71223.0509,71.22,Pig,3766.0626
Emissions intensities,France,1968,72711.4316,72.71,,
Emissions intensities,France,1969,72009.5203,72.01,,
Emissions intensities,France,1970,72494.189,72.49,,
Emissions intensities,France,1971,73003.6235,73,,
Emissions intensities,France,1972,73253.1199,73.25,,
Emissions intensities,France,1973,75465.0563,75.47,,
Emissions intensities,France,1974,78268.3696,78.27,,
Emissions intensities,France,1975,79181.8956,79.18,,
Emissions intensities,France,1976,79287.6054,79.29,,
Emissions intensities,France,1977,78642.2441,78.64,,
Emissions intensities,France,1978,78576.1544,78.58,,
Emissions intensities,France,1979,79081.6309,79.08,,
Emissions intensities,France,1980,78932.7581,78.93,,
Emissions intensities,France,1981,78753.7912,78.75,,
Emissions intensities,France,1982,78349.2878,78.35,,
Emissions intensities,France,1983,78584.7726,78.58,,
Emissions intensities,France,1984,78557.9931,78.56,,
Emissions intensities,France,1985,76706.3238,76.71,,
Emissions intensities,France,1986,76030.5923,76.03,,
Emissions intensities,France,1987,72293.8063,72.29,,
Emissions intensities,France,1988,69678.8079,69.68,,
Emissions intensities,France,1989,69078.0217,69.08,,
Emissions intensities,France,1990,68993.2417,68.99,,
Emissions intensities,France,1991,67053.2078,67.05,,
Emissions intensities,France,1992,65503.8979,65.5,,
Emissions intensities,France,1993,64772.3379,64.77,,
Emissions intensities,France,1994,64750.5223,64.75,,
Emissions intensities,France,1995,64708.3312,64.71,,
Emissions intensities,France,1996,64528.2122,64.53,,
Emissions intensities,France,1997,63591.9171,63.59,,
Emissions intensities,France,1998,63128.3678,63.13,,
Emissions intensities,France,1999,62981.142,62.98,,
Emissions intensities,France,2000,65837.5913,65.84,,
Emissions intensities,France,2001,65727.8744,65.73,,
Emissions intensities,France,2002,64011.8209,64.01,,
Emissions intensities,France,2003,62030.8009,62.03,,
Emissions intensities,France,2004,61190.5248,61.19,,
Emissions intensities,France,2005,60763.7507,60.76,,
Emissions intensities,France,2006,60597.6664,60.6,,
Emissions intensities,France,2007,61282.3501,61.28,,
Emissions intensities,France,2008,61531.7815,61.53,,
Emissions intensities,France,2009,60648.6007,60.65,,
Emissions intensities,France,2010,60004.6297,60,,
Emissions intensities,France,2011,58636.183,58.64,,
Emissions intensities,France,2012,58306.3179,58.31,,
Emissions intensities,France,2013,58577.4541,58.58,,
Emissions intensities,France,2014,58833.6561,58.83,,
Emissions intensities,France,2015,58971.3945,58.97,,
Emissions intensities,France,2016,58704.4314,58.7,,
Emissions intensities,France,2017,57732.4006,57.73,,
Emissions intensities,France,2018,56984.9245,56.98,,
Emissions intensities,France,2019,55703.856,55.7,,
Emissions intensities,France,2020,54902.8163,54.9,,
