Domain,Area,Year,Value,ValueK,MeatType,ValueP
Emissions intensities,India,1961,206202.4729,206.2,Meat Cattle,126714.7134
Emissions intensities,India,1962,202036.6971,202.04,Milk Cattle,105091.7847
Emissions intensities,India,1963,201355.831,201.36,Meat Goat,25237.4497
Emissions intensities,India,1964,201914.9029,201.91,Meat Sheep,13468.6139
Emissions intensities,India,1965,201179.4011,201.18,Meat Chicken,1414.1137
Emissions intensities,India,1966,208257.6514,208.26,Egg,2121.4294
Emissions intensities,India,1967,205562.9123,205.56,Pig,1982.8501
Emissions intensities,India,1968,207430.7883,207.43,,
Emissions intensities,India,1969,208250.3254,208.25,,
Emissions intensities,India,1970,206868.3745,206.87,,
Emissions intensities,India,1971,208993.3774,208.99,,
Emissions intensities,India,1972,211916.7291,211.92,,
Emissions intensities,India,1973,209363.0296,209.36,,
Emissions intensities,India,1974,211320.5645,211.32,,
Emissions intensities,India,1975,213019.8127,213.02,,
Emissions intensities,India,1976,215646.5451,215.65,,
Emissions intensities,India,1977,216993.7676,216.99,,
Emissions intensities,India,1978,220139.2093,220.14,,
Emissions intensities,India,1979,225454.7274,225.45,,
Emissions intensities,India,1980,228793.2285,228.79,,
Emissions intensities,India,1981,232222.4705,232.22,,
Emissions intensities,India,1982,237214.6333,237.21,,
Emissions intensities,India,1983,240317.359,240.32,,
Emissions intensities,India,1984,242779.0337,242.78,,
Emissions intensities,India,1985,243690.5955,243.69,,
Emissions intensities,India,1986,246302.6136,246.3,,
Emissions intensities,India,1987,251161.8097,251.16,,
Emissions intensities,India,1988,252558.9249,252.56,,
Emissions intensities,India,1989,254218.7096,254.22,,
Emissions intensities,India,1990,253798.7383,253.8,,
Emissions intensities,India,1991,254266.5383,254.27,,
Emissions intensities,India,1992,257139.3746,257.14,,
Emissions intensities,India,1993,256594.2431,256.59,,
Emissions intensities,India,1994,256911.4975,256.91,,
Emissions intensities,India,1995,257463.5201,257.46,,
Emissions intensities,India,1996,258050.7341,258.05,,
Emissions intensities,India,1997,257267.0874,257.27,,
Emissions intensities,India,1998,255508.9949,255.51,,
Emissions intensities,India,1999,252033.5437,252.03,,
Emissions intensities,India,2000,250334.1429,250.33,,
Emissions intensities,India,2001,249492.7442,249.49,,
Emissions intensities,India,2002,247721.6894,247.72,,
Emissions intensities,India,2003,247483.4752,247.48,,
Emissions intensities,India,2004,252963.9636,252.96,,
Emissions intensities,India,2005,257821.9169,257.82,,
Emissions intensities,India,2006,262544.2317,262.54,,
Emissions intensities,India,2007,270613.2804,270.61,,
Emissions intensities,India,2008,269800.0497,269.8,,
Emissions intensities,India,2009,268691.6117,268.69,,
Emissions intensities,India,2010,268526.0032,268.53,,
Emissions intensities,India,2011,267614.5022,267.61,,
Emissions intensities,India,2012,266313.0745,266.31,,
Emissions intensities,India,2013,264642.6515,264.64,,
Emissions intensities,India,2014,263813.2424,263.81,,
Emissions intensities,India,2015,268027.7996,268.03,,
Emissions intensities,India,2016,272691.6579,272.69,,
Emissions intensities,India,2017,276030.9549,276.03,,
Emissions intensities,India,2018,280252.7059,280.25,,
Emissions intensities,India,2019,281467.865,281.47,,
Emissions intensities,India,2020,281705.9301,281.71,,
