Domain,Area,Year,Value,ValueK
Emissions intensities,Italy,1961,33120.8806,33.12
Emissions intensities,Italy,1962,32747.4942,32.75
Emissions intensities,Italy,1963,31745.603,31.75
Emissions intensities,Italy,1964,30594.3917,30.59
Emissions intensities,Italy,1965,32236.4628,32.24
Emissions intensities,Italy,1966,32751.3483,32.75
Emissions intensities,Italy,1967,33194.2391,33.19
Emissions intensities,Italy,1968,33563.6276,33.56
Emissions intensities,Italy,1969,35505.9193,35.51
Emissions intensities,Italy,1970,34756.1091,34.76
Emissions intensities,Italy,1971,31920.7018,31.92
Emissions intensities,Italy,1972,31347.9832,31.35
Emissions intensities,Italy,1973,31853.1011,31.85
Emissions intensities,Italy,1974,30673.6538,30.67
Emissions intensities,Italy,1975,30008.794,30.01
Emissions intensities,Italy,1976,30570.1757,30.57
Emissions intensities,Italy,1977,31333.0991,31.33
Emissions intensities,Italy,1978,31092.5934,31.09
Emissions intensities,Italy,1979,31503.6128,31.5
Emissions intensities,Italy,1980,31779.3495,31.78
Emissions intensities,Italy,1981,31688.3092,31.69
Emissions intensities,Italy,1982,31882.7346,31.88
Emissions intensities,Italy,1983,29566.3457,29.57
Emissions intensities,Italy,1984,33282.2073,33.28
Emissions intensities,Italy,1985,33383.4568,33.38
Emissions intensities,Italy,1986,32809.1846,32.81
Emissions intensities,Italy,1987,32549.2201,32.55
Emissions intensities,Italy,1988,32601.5061,32.6
Emissions intensities,Italy,1989,32373.733,32.37
Emissions intensities,Italy,1990,32098.5003,32.1
Emissions intensities,Italy,1991,30078.645,30.08
Emissions intensities,Italy,1992,29365.4901,29.37
Emissions intensities,Italy,1993,27752.1551,27.75
Emissions intensities,Italy,1994,27352.6198,27.35
Emissions intensities,Italy,1995,26164.1843,26.16
Emissions intensities,Italy,1996,26362.7264,26.36
Emissions intensities,Italy,1997,26089.8581,26.09
Emissions intensities,Italy,1998,26088.0387,26.09
Emissions intensities,Italy,1999,26052.9606,26.05
Emissions intensities,Italy,2000,26513.0757,26.51
Emissions intensities,Italy,2001,22840.6086,22.84
Emissions intensities,Italy,2002,24637.5342,24.64
Emissions intensities,Italy,2003,23709.092,23.71
Emissions intensities,Italy,2004,24013.6039,24.01
Emissions intensities,Italy,2005,23574.1431,23.57
Emissions intensities,Italy,2006,23058.2382,23.06
Emissions intensities,Italy,2007,22892.6948,22.89
Emissions intensities,Italy,2008,23390.008,23.39
Emissions intensities,Italy,2009,23191.9388,23.19
Emissions intensities,Italy,2010,23157.6819,23.16
Emissions intensities,Italy,2011,22242.8214,22.24
Emissions intensities,Italy,2012,22680.6285,22.68
Emissions intensities,Italy,2013,22191.359,22.19
Emissions intensities,Italy,2014,21983.5994,21.98
Emissions intensities,Italy,2015,21996.1556,22
Emissions intensities,Italy,2016,22309.8016,22.31
Emissions intensities,Italy,2017,22341.8714,22.34
Emissions intensities,Italy,2018,23469.2735,23.47
Emissions intensities,Italy,2019,23464.7062,23.46
Emissions intensities,Italy,2020,23546.0743,23.55
