Domain,Area,Year,Value,ValueK,MeatType,ValueP
Emissions intensities,Spain,1961,22400.6876,22.4,Meat Cattle,12885.6635
Emissions intensities,Spain,1962,22096.1128,22.1,Milk Cattle,3522.1673
Emissions intensities,Spain,1963,21744.907,21.74,Meat Goat,436.1113
Emissions intensities,Spain,1964,21618.824,21.62,Meat Sheep,4379.9945
Emissions intensities,Spain,1965,21075.5009,21.08,Meat Chicken,308.3857
Emissions intensities,Spain,1966,21008.2611,21.01,Egg,498.6632
Emissions intensities,Spain,1967,21857.0646,21.86,Pig,9751.1786
Emissions intensities,Spain,1968,22388.4742,22.39,,
Emissions intensities,Spain,1969,23329.7554,23.33,,
Emissions intensities,Spain,1970,23787.986,23.79,,
Emissions intensities,Spain,1971,23784.5637,23.78,,
Emissions intensities,Spain,1972,23762.4995,23.76,,
Emissions intensities,Spain,1973,24599.2732,24.6,,
Emissions intensities,Spain,1974,23860.2224,23.86,,
Emissions intensities,Spain,1975,23709.8556,23.71,,
Emissions intensities,Spain,1976,23817.6527,23.82,,
Emissions intensities,Spain,1977,24466.1486,24.47,,
Emissions intensities,Spain,1978,25035.061,25.04,,
Emissions intensities,Spain,1979,24246.5989,24.25,,
Emissions intensities,Spain,1980,24772.4545,24.77,,
Emissions intensities,Spain,1981,24612.8715,24.61,,
Emissions intensities,Spain,1982,27547.6459,27.55,,
Emissions intensities,Spain,1983,27029.67,27.03,,
Emissions intensities,Spain,1984,27087.9503,27.09,,
Emissions intensities,Spain,1985,26918.4566,26.92,,
Emissions intensities,Spain,1986,28573.5529,28.57,,
Emissions intensities,Spain,1987,26921.0696,26.92,,
Emissions intensities,Spain,1988,30511.1882,30.51,,
Emissions intensities,Spain,1989,30497.2742,30.5,,
Emissions intensities,Spain,1990,28826.7618,28.83,,
Emissions intensities,Spain,1991,28762.0049,28.76,,
Emissions intensities,Spain,1992,28749.4184,28.75,,
Emissions intensities,Spain,1993,28646.5676,28.65,,
Emissions intensities,Spain,1994,28446.7714,28.45,,
Emissions intensities,Spain,1995,28992.2157,28.99,,
Emissions intensities,Spain,1996,28762.815,28.76,,
Emissions intensities,Spain,1997,30501.5891,30.5,,
Emissions intensities,Spain,1998,30895.3211,30.9,,
Emissions intensities,Spain,1999,31489.5876,31.49,,
Emissions intensities,Spain,2000,31980.8425,31.98,,
Emissions intensities,Spain,2001,32594.2613,32.59,,
Emissions intensities,Spain,2002,32987.6352,32.99,,
Emissions intensities,Spain,2003,33494.3238,33.49,,
Emissions intensities,Spain,2004,33626.0458,33.63,,
Emissions intensities,Spain,2005,33081.7533,33.08,,
Emissions intensities,Spain,2006,32486.2291,32.49,,
Emissions intensities,Spain,2007,33380.6985,33.38,,
Emissions intensities,Spain,2008,31222.1637,31.22,,
Emissions intensities,Spain,2009,31289.1856,31.29,,
Emissions intensities,Spain,2010,30374.545,30.37,,
Emissions intensities,Spain,2011,29486.2279,29.49,,
Emissions intensities,Spain,2012,28910.3334,28.91,,
Emissions intensities,Spain,2013,28706.6886,28.71,,
Emissions intensities,Spain,2014,29635.7166,29.64,,
Emissions intensities,Spain,2015,31194.2869,31.19,,
Emissions intensities,Spain,2016,31401.8526,31.4,,
Emissions intensities,Spain,2017,31782.1641,31.78,,
Emissions intensities,Spain,2018,32108.498,32.11,,
Emissions intensities,Spain,2019,32355.8336,32.36,,
Emissions intensities,Spain,2020,32914.0206,32.91,,
