Domain,Item,Year,Value,ValueK
Emissions intensities,"Hen eggs in shell, fresh",1961,8630.1318,8.63
Emissions intensities,"Hen eggs in shell, fresh",1962,8822.0527,8.82
Emissions intensities,"Hen eggs in shell, fresh",1963,8890.1995,8.89
Emissions intensities,"Hen eggs in shell, fresh",1964,9192.9694,9.19
Emissions intensities,"Hen eggs in shell, fresh",1965,9317.8975,9.32
Emissions intensities,"Hen eggs in shell, fresh",1966,9498.2921,9.5
Emissions intensities,"Hen eggs in shell, fresh",1967,9835.6669,9.84
Emissions intensities,"Hen eggs in shell, fresh",1968,9947.0681,9.95
Emissions intensities,"Hen eggs in shell, fresh",1969,10128.9537,10.13
Emissions intensities,"Hen eggs in shell, fresh",1970,10411.076,10.41
Emissions intensities,"Hen eggs in shell, fresh",1971,10579.9563,10.58
Emissions intensities,"Hen eggs in shell, fresh",1972,10593.4886,10.59
Emissions intensities,"Hen eggs in shell, fresh",1973,10586.6244,10.59
Emissions intensities,"Hen eggs in shell, fresh",1974,10805.9063,10.81
Emissions intensities,"Hen eggs in shell, fresh",1975,10847.6326,10.85
Emissions intensities,"Hen eggs in shell, fresh",1976,10954.8438,10.95
Emissions intensities,"Hen eggs in shell, fresh",1977,11043.7668,11.04
Emissions intensities,"Hen eggs in shell, fresh",1978,11262.5724,11.26
Emissions intensities,"Hen eggs in shell, fresh",1979,11473.8437,11.47
Emissions intensities,"Hen eggs in shell, fresh",1980,11528.8178,11.53
Emissions intensities,"Hen eggs in shell, fresh",1981,11359.9936,11.36
Emissions intensities,"Hen eggs in shell, fresh",1982,11594.931,11.59
Emissions intensities,"Hen eggs in shell, fresh",1983,11611.7917,11.61
Emissions intensities,"Hen eggs in shell, fresh",1984,12163.2043,12.16
Emissions intensities,"Hen eggs in shell, fresh",1985,12619.5696,12.62
Emissions intensities,"Hen eggs in shell, fresh",1986,12914.3388,12.91
Emissions intensities,"Hen eggs in shell, fresh",1987,13219.6524,13.22
Emissions intensities,"Hen eggs in shell, fresh",1988,13341.5527,13.34
Emissions intensities,"Hen eggs in shell, fresh",1989,13308.3302,13.31
Emissions intensities,"Hen eggs in shell, fresh",1990,13776.6136,13.78
Emissions intensities,"Hen eggs in shell, fresh",1991,13955.4882,13.96
Emissions intensities,"Hen eggs in shell, fresh",1992,14166.9563,14.17
Emissions intensities,"Hen eggs in shell, fresh",1993,14682.3648,14.68
Emissions intensities,"Hen eggs in shell, fresh",1994,16453.3444,16.45
Emissions intensities,"Hen eggs in shell, fresh",1995,17124.8626,17.12
Emissions intensities,"Hen eggs in shell, fresh",1996,17969.8876,17.97
Emissions intensities,"Hen eggs in shell, fresh",1997,18546.5535,18.55
Emissions intensities,"Hen eggs in shell, fresh",1998,19061.1596,19.06
Emissions intensities,"Hen eggs in shell, fresh",1999,19904.0515,19.9
Emissions intensities,"Hen eggs in shell, fresh",2000,20935.2797,20.94
Emissions intensities,"Hen eggs in shell, fresh",2001,21462.4743,21.46
Emissions intensities,"Hen eggs in shell, fresh",2002,22017.2748,22.02
Emissions intensities,"Hen eggs in shell, fresh",2003,22097.903,22.1
Emissions intensities,"Hen eggs in shell, fresh",2004,22994.9265,22.99
Emissions intensities,"Hen eggs in shell, fresh",2005,23501.8909,23.5
Emissions intensities,"Hen eggs in shell, fresh",2006,24347.4642,24.35
Emissions intensities,"Hen eggs in shell, fresh",2007,25044.8601,25.04
Emissions intensities,"Hen eggs in shell, fresh",2008,25601.6514,25.6
Emissions intensities,"Hen eggs in shell, fresh",2009,26142.9377,26.14
Emissions intensities,"Hen eggs in shell, fresh",2010,26564.0933,26.56
Emissions intensities,"Hen eggs in shell, fresh",2011,26803.1803,26.8
Emissions intensities,"Hen eggs in shell, fresh",2012,27420.5581,27.42
Emissions intensities,"Hen eggs in shell, fresh",2013,27533.4712,27.53
Emissions intensities,"Hen eggs in shell, fresh",2014,28102.1077,28.1
Emissions intensities,"Hen eggs in shell, fresh",2015,28428.7672,28.43
Emissions intensities,"Hen eggs in shell, fresh",2016,29393.1995,29.39
Emissions intensities,"Hen eggs in shell, fresh",2017,29408.542,29.41
Emissions intensities,"Hen eggs in shell, fresh",2018,30120.3356,30.12
Emissions intensities,"Hen eggs in shell, fresh",2019,31488.849,31.49
Emissions intensities,"Hen eggs in shell, fresh",2020,31250.04,31.25
