Domain,Item,Year,Value,ValueK
Emissions intensities,"Meat of goat, fresh or chilled",1961,34041.6287,34.04
Emissions intensities,"Meat of goat, fresh or chilled",1962,37012.5872,37.01
Emissions intensities,"Meat of goat, fresh or chilled",1963,38970.9435,38.97
Emissions intensities,"Meat of goat, fresh or chilled",1964,38622.1663,38.62
Emissions intensities,"Meat of goat, fresh or chilled",1965,37908.6274,37.91
Emissions intensities,"Meat of goat, fresh or chilled",1966,37907.1789,37.91
Emissions intensities,"Meat of goat, fresh or chilled",1967,37862.5014,37.86
Emissions intensities,"Meat of goat, fresh or chilled",1968,38722.5287,38.72
Emissions intensities,"Meat of goat, fresh or chilled",1969,38823.9766,38.82
Emissions intensities,"Meat of goat, fresh or chilled",1970,38536.1728,38.54
Emissions intensities,"Meat of goat, fresh or chilled",1971,39090.2092,39.09
Emissions intensities,"Meat of goat, fresh or chilled",1972,40106.7254,40.11
Emissions intensities,"Meat of goat, fresh or chilled",1973,40392.0329,40.39
Emissions intensities,"Meat of goat, fresh or chilled",1974,41688.9542,41.69
Emissions intensities,"Meat of goat, fresh or chilled",1975,42753.3686,42.75
Emissions intensities,"Meat of goat, fresh or chilled",1976,44227.6564,44.23
Emissions intensities,"Meat of goat, fresh or chilled",1977,44333.4283,44.33
Emissions intensities,"Meat of goat, fresh or chilled",1978,46428.5662,46.43
Emissions intensities,"Meat of goat, fresh or chilled",1979,49288.4954,49.29
Emissions intensities,"Meat of goat, fresh or chilled",1980,51319.1108,51.32
Emissions intensities,"Meat of goat, fresh or chilled",1981,52716.6534,52.72
Emissions intensities,"Meat of goat, fresh or chilled",1982,54009.8339,54.01
Emissions intensities,"Meat of goat, fresh or chilled",1983,54797.2084,54.8
Emissions intensities,"Meat of goat, fresh or chilled",1984,53291.1743,53.29
Emissions intensities,"Meat of goat, fresh or chilled",1985,52933.8713,52.93
Emissions intensities,"Meat of goat, fresh or chilled",1986,54315.1433,54.32
Emissions intensities,"Meat of goat, fresh or chilled",1987,58035.1214,58.04
Emissions intensities,"Meat of goat, fresh or chilled",1988,61115.3562,61.12
Emissions intensities,"Meat of goat, fresh or chilled",1989,65529.1746,65.53
Emissions intensities,"Meat of goat, fresh or chilled",1990,65213.177,65.21
Emissions intensities,"Meat of goat, fresh or chilled",1991,66106.492,66.11
Emissions intensities,"Meat of goat, fresh or chilled",1992,66501.6291,66.5
Emissions intensities,"Meat of goat, fresh or chilled",1993,67184.3821,67.18
Emissions intensities,"Meat of goat, fresh or chilled",1994,70481.7355,70.48
Emissions intensities,"Meat of goat, fresh or chilled",1995,76023.1609,76.02
Emissions intensities,"Meat of goat, fresh or chilled",1996,81999.8437,82
Emissions intensities,"Meat of goat, fresh or chilled",1997,77309.9444,77.31
Emissions intensities,"Meat of goat, fresh or chilled",1998,80874.2506,80.87
Emissions intensities,"Meat of goat, fresh or chilled",1999,81792.9142,81.79
Emissions intensities,"Meat of goat, fresh or chilled",2000,85009.0308,85.01
Emissions intensities,"Meat of goat, fresh or chilled",2001,86126.4291,86.13
Emissions intensities,"Meat of goat, fresh or chilled",2002,85841.1898,85.84
Emissions intensities,"Meat of goat, fresh or chilled",2003,87282.7577,87.28
Emissions intensities,"Meat of goat, fresh or chilled",2004,89993.0353,89.99
Emissions intensities,"Meat of goat, fresh or chilled",2005,92147.9002,92.15
Emissions intensities,"Meat of goat, fresh or chilled",2006,92013.7729,92.01
Emissions intensities,"Meat of goat, fresh or chilled",2007,90720.596,90.72
Emissions intensities,"Meat of goat, fresh or chilled",2008,92770.2624,92.77
Emissions intensities,"Meat of goat, fresh or chilled",2009,94098.0487,94.1
Emissions intensities,"Meat of goat, fresh or chilled",2010,93297.0298,93.3
Emissions intensities,"Meat of goat, fresh or chilled",2011,95424.4793,95.42
Emissions intensities,"Meat of goat, fresh or chilled",2012,95325.1019,95.33
Emissions intensities,"Meat of goat, fresh or chilled",2013,95499.2634,95.5
Emissions intensities,"Meat of goat, fresh or chilled",2014,96151.3776,96.15
Emissions intensities,"Meat of goat, fresh or chilled",2015,99203.1592,99.2
Emissions intensities,"Meat of goat, fresh or chilled",2016,101546.4862,101.55
Emissions intensities,"Meat of goat, fresh or chilled",2017,101029.6096,101.03
Emissions intensities,"Meat of goat, fresh or chilled",2018,101518.1275,101.52
Emissions intensities,"Meat of goat, fresh or chilled",2019,104771.4144,104.77
Emissions intensities,"Meat of goat, fresh or chilled",2020,105021.9195,105.02
