Domain,Item,Year,Value,ValueK
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1961,60997.9191,61
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1962,64028.135,64.03
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1963,67356.617,67.36
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1964,72078.7444,72.08
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1965,72968.3759,72.97
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1966,72781.4332,72.78
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1967,79916.8481,79.92
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1968,81710.2731,81.71
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1969,81520.9979,81.52
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1970,81467.5905,81.47
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1971,91870.3281,91.87
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1972,95727.7296,95.73
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1973,97019.6414,97.02
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1974,96956.5259,96.96
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1975,94674.3655,94.67
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1976,95451.6789,95.45
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1977,99318.3943,99.32
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1978,101511.8815,101.51
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1979,106087.8132,106.09
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1980,112524.3129,112.52
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1981,109730.2482,109.73
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1982,106661.9212,106.66
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1983,105860.1337,105.86
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1984,107864.6587,107.86
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1985,107717.4469,107.72
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1986,112506.527,112.51
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1987,112464.0145,112.46
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1988,113095.5066,113.1
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1989,114875.5433,114.88
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1990,115090.2812,115.09
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1991,117879.148,117.88
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1992,119194.489,119.19
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1993,121502.3687,121.5
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1994,123744.9856,123.74
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1995,125847.5437,125.85
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1996,126758.136,126.76
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1997,119304.9488,119.3
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1998,124771.0344,124.77
Emissions intensities,"Meat of pig with the bone, fresh or chilled",1999,126973.4797,126.97
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2000,128021.2848,128.02
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2001,126981.7658,126.98
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2002,128307.0499,128.31
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2003,128452.513,128.45
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2004,128107.1938,128.11
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2005,129861.1772,129.86
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2006,132423.7861,132.42
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2007,130853.0631,130.85
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2008,135143.3758,135.14
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2009,138161.2213,138.16
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2010,137649.4606,137.65
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2011,138503.9106,138.5
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2012,139836.9129,139.84
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2013,138629.4458,138.63
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2014,140766.83,140.77
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2015,141222.5734,141.22
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2016,140811.0444,140.81
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2017,140570.52,140.57
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2018,139945.9606,139.95
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2019,125807.5508,125.81
Emissions intensities,"Meat of pig with the bone, fresh or chilled",2020,138699.7161,138.7
