Domain,Area,Element,Item,Year,Value
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1961","1064.1189"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1962","1057.7341"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1963","1059.8624"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1964","1063.6932"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1965","1084.9756"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1966","1106.6836"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1967","1123.7095"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1968","1127.966"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1969","1136.4789"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1970","1144.9919"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1971","1153.5048"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1972","1162.0178"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1973","1170.5307"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1974","974.7888"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1975","851.2951"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1976","851.2951"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1977","744.8832"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1978","681.0361"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1979","638.4713"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1980","638.4713"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1981","638.4713"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1982","638.4713"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1983","617.1889"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1984","659.328"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1985","659.7537"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1986","659.7537"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1987","659.7537"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1988","681.0361"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1989","681.0361"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1990","702.3184"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1991","723.6008"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1992","744.8832"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1993","789.589"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1994","846.6023"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1995","754.9161"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1996","718.1951"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1997","729.5599"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1998","723.6008"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","1999","724.1754"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2000","742.7975"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2001","720.749"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2002","851.2951"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2003","893.8598"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2004","893.8598"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2005","893.8598"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2006","893.8598"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2007","904.501"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2008","904.501"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2009","904.501"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2010","859.1772"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2011","910.8857"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2012","925.7834"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2013","931.104"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2014","936.4246"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2015","1004.6716"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2016","1002.8624"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, goat","2017","1004.6397"
