Domain,Area,Element,Item,Year,Value
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1961","22.9714"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1962","23.7384"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1963","27.2282"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1964","28.2253"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1965","25.6943"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1966","25.119"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1967","24.7355"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1968","22.5342"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1969","26.5187"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1970","30.2387"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1971","42.9401"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1972","91.7324"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1973","100.315"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1974","103.9581"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1975","93.3829"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1976","103.5904"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1977","104.9218"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1978","103.023"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1979","103.6401"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1980","122.3474"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1981","120.3174"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1982","115.2177"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1983","126.9373"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1984","129.2114"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1985","141.5255"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1986","146.8178"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1987","162.9975"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1988","195.9782"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1989","152.2787"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1990","179.7524"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1991","164.3627"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1992","189.2018"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1993","212.9249"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1994","214.9306"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1995","210.3708"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1996","239.0371"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1997","258.373"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1998","289.5551"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","1999","298.6018"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2000","279.6149"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2001","294.1302"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2002","276.6696"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2003","271.9488"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2004","271.2662"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2005","240.5596"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2006","300.8453"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2007","314.9081"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2008","283.285"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2009","317.5542"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2010","273.3946"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2011","297.7198"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2012","336.008"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2013","322.2712"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2014","315.1113"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2015","272.8884"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2016","285.4134"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, chicken","2017","302.897"
