Domain,Area,Element,Item,Year,Value
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1961","10454.1886"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1962","10679.0098"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1963","10788.1143"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1964","10176.4682"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1965","9958.2593"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1966","9614.4151"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1967","9525.1478"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1968","9237.5088"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1969","8926.7265"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1970","8837.4592"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1971","8599.4132"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1972","8480.3902"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1973","8371.2857"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1974","7838.9883"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1975","7786.0892"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1976","7753.0273"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1977","7187.6679"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1978","6797.5369"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1979","6351.2006"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1980","6179.2785"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1981","6013.9687"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1982","5984.2129"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1983","5924.7014"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1984","5980.9068"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1985","5980.9068"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1986","5851.9651"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1987","5673.4306"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1988","5541.1828"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1989","5499.8488"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1990","5463.6162"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1991","5413.3157"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1992","5461.8341"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1993","5610.6129"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1994","5906.319"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1995","6020.3298"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1996","6229.2714"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1997","6536.3475"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1998","6810.7617"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","1999","7124.8502"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2000","7177.7493"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2001","7194.2803"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2002","7019.052"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2003","6777.6303"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2004","6738.4916"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2005","6420.6307"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2006","6215.6466"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2007","5937.9262"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2008","5423.2343"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2009","5541.887"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2010","5134.5208"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2011","5252.6677"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2012","5621.8143"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2013","5581.8788"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2014","5444.2617"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2015","5585.3304"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2016","5163.0566"
"Emissions intensities","Australia","Emissions (CO2eq)","Milk, whole fresh cow","2017","5026.6595"
