Domain,Area,Element,Item,Year,Value
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1961","81211.1673"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1962","83677.2566"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1963","86470.5203"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1964","89729.3168"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1965","92513.4987"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1966","95078.6071"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1967","98914.4966"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1968","102800.4766"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1969","106331.302"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1970","110070.4763"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1971","114662.4184"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1972","121837.3388"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1973","126461.7486"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1974","132886.6198"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1975","133893.6927"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1976","148284.9329"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1977","155524.3763"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1978","154913.2664"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1979","157394.2088"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1980","171050.5"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1981","175783.2262"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1982","178801.5702"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1983","180151.0447"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1984","185163.536"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1985","186015.9199"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1986","191356.3553"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1987","196906.6087"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1988","202915.5501"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1989","209485.9383"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1990","213740.2351"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1991","220655.1418"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1992","223296.0604"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1993","225562.6406"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1994","230677.7971"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1995","234807.7073"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1996","237088.4378"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1997","241016.7688"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1998","243530.6881"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","1999","245787.1814"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2000","253742.375"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2001","264100.1682"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2002","277704.3872"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2003","294319.3675"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2004","307999.0712"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2005","311406.0409"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2006","308756.037"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2007","298215.4945"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2008","301707.6"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2009","305298.9701"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2010","311548.6513"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2011","316506.825"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2012","314652.7956"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2013","315210.7164"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2014","316092.9036"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2015","324058.5931"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2016","331442.1779"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, cattle","2017","330285.8317"
