Domain,Area,Element,Item,Year,Value
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1961","289.1119"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1962","305.3745"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1963","324.0463"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1964","345.1274"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1965","360.1853"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1966","379.4594"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1967","385.4826"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1968","403.5521"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1969","421.6216"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1970","439.6911"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1971","469.8069"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1972","487.8764"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1973","511.9691"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1974","542.0849"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1975","662.5482"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1976","728.803"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1977","696.8802"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1978","805.6586"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1979","918.7857"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1980","714.0463"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1981","712.5405"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1982","756.8107"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1983","716.2447"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1984","879.9845"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1985","952.5636"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1986","1035.9844"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1987","1127.2354"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1988","1075.4362"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1989","1083.5675"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1990","1122.8686"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1991","1200.1157"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1992","1204.1512"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1993","1216.6794"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1994","1252.8184"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1995","1132.3551"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1996","1078.1466"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1997","1204.6331"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1998","1204.6331"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","1999","1264.8647"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2000","1325.0964"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2001","1355.2122"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2002","1385.328"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2003","1403.3975"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2004","1415.4439"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2005","1445.5597"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2006","1559.3975"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2007","1566.023"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2008","1566.023"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2009","1662.3936"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2010","1716.6021"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2011","1746.718"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2012","1806.9496"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2013","1867.1813"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2014","1927.4129"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2015","1895.9702"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2016","1925.3405"
"Emissions intensities","Brazil","Emissions (CO2eq)","Eggs, hen, in shell","2017","2041.8531"
