Domain,Area,Element,Item,Year,Value
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1961","566.9862"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1962","572.7391"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1963","579.6853"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1964","587.6542"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1965","582.7109"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1966","712.5147"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1967","696.1082"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1968","716.3501"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1969","740.6403"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1970","731.6913"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1971","729.7721"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1972","775.5842"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1973","776.4365"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1974","918.5559"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1975","916.4252"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1976","955.6306"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1977","942.6331"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1978","972.6764"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1979","1037.6635"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1980","1028.2883"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1981","1143.1345"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1982","1158.4216"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1983","1136.911"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1984","1251.7241"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1985","1282.7185"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1986","1362.6614"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1987","1383.2385"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1988","1408.9879"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1989","1484.9067"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1990","1522.3157"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1991","1560.1486"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1992","1382.6498"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1993","1239.7695"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1994","1305.9829"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1995","1400.2391"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1996","817.01"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1997","879.5002"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1998","902.469"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","1999","956.6086"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2000","947.494"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2001","1052.0329"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2002","1051.8324"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2003","1082.761"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2004","1125.1317"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2005","1155.9878"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2006","1167.0898"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2007","1044.1222"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2008","1041.6686"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2009","1018.6805"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2010","1036.201"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2011","939.5044"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2012","776.9613"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2013","783.9395"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2014","980.6223"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2015","1071.7368"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2016","1089.8363"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, goat","2017","1067.8529"
