Domain,Area,Element,Item,Year,Value
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1961","5736.5851"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1962","5812.2851"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1963","5940.1574"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1964","6070.8357"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1965","6204.3845"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1966","6340.8899"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1967","6480.4275"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1968","6622.9898"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1969","6768.6703"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1970","6917.5802"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1971","7069.5507"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1972","7198.8045"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1973","7400.6401"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1974","7667.9602"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1975","7894.0161"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1976","7895.0926"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1977","7744.2092"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1978","7557.4009"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1979","8005.0275"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1980","7665.9436"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1981","7272.5884"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1982","7440.0205"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1983","7104.0619"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1984","7249.7891"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1985","7231.9235"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1986","7297.3326"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1987","7283.9522"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1988","7203.4906"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1989","7404.013"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1990","7540.3966"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1991","7689.9997"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1992","7744.2469"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1993","7666.208"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1994","7880.9731"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1995","8087.3532"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1996","6548.9346"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1997","6646.4718"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1998","6729.4123"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","1999","6915.9242"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2000","7078.1768"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2001","7312.0818"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2002","7158.1568"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2003","7244.7567"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2004","7419.7697"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2005","7639.2403"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2006","7888.1459"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2007","8061.0947"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2008","8257.0996"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2009","8532.1432"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2010","8736.514"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2011","8815.1347"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2012","8700.4397"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2013","8240.1852"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2014","8506.3197"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2015","8924.549"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2016","8946.4933"
"Emissions intensities","Brazil","Emissions (CO2eq)","Meat, pig","2017","9217.0398"
