Domain,Area,Element,Item,Year,Value
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1961","12975.1146"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1962","13426.682"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1963","13983.7778"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1964","14763.8802"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1965","15556.6057"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1966","15527.3203"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1967","15235.9811"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1968","15245.4062"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1969","14835.4107"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1970","15269.6424"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1971","16372.0526"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1972","17017.0046"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1973","18055.1214"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1974","19208.8652"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1975","20594.0309"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1976","20238.9033"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1977","19166.7884"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1978","17872.5085"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1979","17118.4936"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1980","17424.8121"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1981","17507.2825"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1982","17473.6211"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1983","17041.0724"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1984","16747.2086"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1985","16345.1235"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1986","15835.6585"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1987","15540.9531"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1988","15733.6645"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1989","16141.3038"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1990","16573.8525"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1991","16764.5442"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1992","17817.8087"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1993","17903.6452"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1994","18157.7886"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1995","19294.3651"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1996","20473.6914"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1997","20500.6205"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1998","20492.8784"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","1999","20288.7222"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2000","20361.599"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2001","21067.3098"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2002","21320.4434"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2003","20870.8957"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2004","22721.5982"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2005","23367.0551"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2006","22950.159"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2007","22111.3175"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2008","21493.2946"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2009","20305.2162"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2010","19698.3016"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2011","18832.531"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2012","18970.8792"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2013","18984.1755"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2014","18666.4121"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2015","18025.6677"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2016","17975.1757"
"Emissions intensities","Canada","Emissions (CO2eq)","Meat, cattle","2017","17857.3608"
