Domain,Area,Element,Item,Year,Value
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1961","13251.0881"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1962","13112.2241"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1963","12930.3255"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1964","12892.6149"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1965","12799.4473"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1966","11873.9829"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1967","11847.8073"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1968","11618.8813"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1969","11475.1371"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1970","11328.7309"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1971","10015.5121"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1972","9819.4165"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1973","9403.2681"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1974","9174.7858"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1975","9059.4355"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1976","8975.141"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1977","8757.7501"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1978","8460.5012"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1979","8096.7041"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1980","7866.0035"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1981","7826.0745"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1982","7897.0593"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1983","7701.8511"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1984","7448.9678"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1985","7178.3382"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1986","6863.3431"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1987","6357.1328"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1988","6246.6627"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1989","6184.551"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1990","6091.3834"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1991","5892.1823"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1992","5689.8756"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1993","5423.6826"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1994","5428.1192"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1995","5523.0613"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1996","5488.8999"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1997","5461.8369"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1998","5252.8754"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","1999","5131.7576"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2000","4895.2895"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2001","4840.2763"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2002","4808.7768"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2003","4727.1442"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2004","4680.1168"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2005","4620.2234"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2006","4521.2883"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2007","4425.4588"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2008","4368.671"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2009","4283.9329"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2010","4286.5948"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2011","4283.9329"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2012","4251.9897"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2013","4261.3065"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2014","4255.9826"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2015","4125.9917"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2016","4125.9917"
"Emissions intensities","Canada","Emissions (CO2eq)","Milk, whole fresh cow","2017","4103.8089"
