Domain,Area,Element,Item,Year,Value
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1961","206.1709"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1962","205.9131"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1963","197.9869"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1964","205.1713"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1965","203.5704"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1966","198.0493"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1967","205.1713"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1968","208.3652"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1969","211.239"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1970","220.3133"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1971","219.5012"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1972","206.288"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1973","203.8359"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1974","202.0554"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1975","194.2072"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1976","185.8279"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1977","187.0461"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1978","184.1176"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1979","186.6166"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1980","196.2297"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1981","192.9655"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1982","187.8036"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1983","187.1086"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1984","179.0729"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1985","177.6907"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1986","176.3475"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1987","176.2616"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1988","175.0824"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1989","170.2563"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1990","164.9851"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1991","163.9855"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1992","168.0463"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1993","167.32"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1994","168.835"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1995","169.4051"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1996","169.0303"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1997","169.7018"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1998","170.3422"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","1999","183.8912"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2000","192.0206"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2001","197.2605"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2002","201.0714"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2003","200.8528"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2004","192.2861"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2005","200.1968"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2006","202.1179"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2007","202.1725"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2008","202.7816"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2009","205.3509"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2010","207.0533"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2011","209.3492"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2012","211.2859"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2013","213.4568"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2014","213.41"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2015","223.7025"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2016","238.1652"
"Emissions intensities","Canada","Emissions (CO2eq)","Eggs, hen, in shell","2017","247.3254"
