Domain,Area,Element,Item,Year,Value
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1961","74909.2085"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1962","70834.3927"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1963","71738.2052"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1964","74143.2657"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1965","79458.9089"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1966","81225.1853"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1967","84897.103"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1968","86337.0755"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1969","87685.1349"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1970","87317.4823"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1971","87263.8663"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1972","87204.1228"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1973","86428.9886"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1974","85871.3823"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1975","85638.5356"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1976","84049.9825"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1977","81381.4377"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1978","79716.2779"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1979","79739.244"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1980","79305.7326"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1981","79377.7312"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1982","81214.4621"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1983","85747.2995"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1984","88235.0941"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1985","93437.3655"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1986","99633.843"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1987","105214.5147"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1988","108559.8343"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1989","112728.7079"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1990","115012.2225"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1991","119836.351"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1992","121535.2122"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1993","126135.4648"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1994","133742.809"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1995","147921.9426"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1996","160216.8568"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1997","132066.9261"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1998","145041.9976"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","1999","148709.3318"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2000","152569.6837"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2001","146887.9198"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2002","137480.61"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2003","131866.249"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2004","127345.6545"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2005","120885.6927"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2006","115095.1649"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2007","106227.0788"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2008","107760.4964"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2009","107695.8508"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2010","109238.3065"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2011","108218.5302"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2012","104337.6511"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2013","104297.0561"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2014","104178.0286"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2015","107724.9566"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2016","109864.8477"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, cattle","2017","109153.8996"
