Domain,Area,Element,Item,Year,Value
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1961","9453.7745"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1962","9753.6176"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1963","9896.566"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1964","14015.9223"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1965","13925.2721"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1966","18475.217"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1967","19524.6679"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1968","21233.0763"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1969","22069.8478"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1970","22017.5496"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1971","22981.58"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1972","23673.6598"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1973","24259.3998"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1974","26201.407"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1975","26149.1088"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1976","26079.3778"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1977","25057.8193"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1978","24630.7311"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1979","25056.09"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1980","25978.2819"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1981","26140.3924"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1982","26401.8835"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1983","27097.4498"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1984","26931.8527"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1985","27554.1875"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1986","27951.654"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1987","29152.7837"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1988","28978.4563"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1989","29229.4877"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1990","29714.1179"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1991","30141.206"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1992","30516.0099"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1993","30681.6209"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1994","30943.112"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1995","31750.4222"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1996","32337.9055"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1997","25688.8844"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1998","30585.7409"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","1999","30620.6064"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2000","30310.3036"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2001","30495.0906"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2002","30296.3574"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2003","30200.4773"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2004","29755.9425"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2005","29626.9402"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2006","29804.7542"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2007","30097.6242"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2008","31044.2219"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2009","31007.9618"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2010","31550.2943"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2011","31166.2511"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2012","31106.9798"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2013","31030.2757"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2014","31108.7231"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2015","31961.9964"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2016","32153.0749"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, buffalo","2017","31692.155"
