Domain,Area,Element,Item,Year,Value
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1961","553.3094"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1962","553.3089"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1963","671.8751"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1964","687.6839"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1965","671.8751"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1966","632.353"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1967","632.353"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1968","612.592"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1969","608.6403"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1970","679.7795"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1971","624.4491"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1972","707.445"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1973","723.2538"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1974","762.7758"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1975","762.7758"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1976","897.1509"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1977","909.0075"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1978","1035.4781"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1979","1086.8568"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1980","1323.9892"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1981","1600.6436"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1982","1786.3973"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1983","2003.7687"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1984","2153.9525"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1985","2221.14"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1986","2908.8239"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1987","3651.8387"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1988","4268.3829"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1989","4734.7433"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1990","4940.258"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1991","5703.0339"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1992","6046.8758"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1993","6718.7509"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1994","6797.7951"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1995","6741.1995"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1996","7386.6738"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1997","8971.5086"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1998","5137.8684"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","1999","5928.3096"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2000","6343.2913"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2001","6817.5561"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2002","7837.2254"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2003","7351.104"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2004","7904.4129"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2005","8437.9607"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2006","8208.7328"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2007","8892.4645"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2008","9781.7109"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2009","10354.7808"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2010","10564.2478"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2011","8161.3063"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2012","8685.6455"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2013","8266.0397"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2014","7270.0837"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2015","6579.0305"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2016","7807.0182"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, chicken","2017","6968.5711"
