Domain,Area,Element,Item,Year,Value
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1961","2257.8229"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1962","2333.0837"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1963","2257.8229"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1964","2327.2944"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1965","2373.6087"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1966","2472.0267"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1967","2512.5517"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1968","2576.2339"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1969","2639.9161"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1970","2593.6017"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1971","2732.5447"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1972","2732.5447"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1973","2744.1233"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1974","2830.9626"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1975","2854.1198"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1976","2906.2234"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1977","2969.9056"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1978","2993.0627"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1979","3068.3235"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1980","3126.2164"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1981","2981.4841"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1982","3056.7449"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1983","3201.4771"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1984","3328.8415"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1985","3693.5668"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1986","3670.4096"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1987","3739.8811"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1988","4023.5563"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1989","4064.0813"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1990","4341.9672"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1991","4515.6459"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1992","4747.2175"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1993","5210.3606"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1994","6831.3617"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1995","7699.7552"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1996","8683.9344"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1997","9262.8633"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1998","9841.7923"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","1999","10420.7213"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","2000","10970.7038"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","2001","11144.3825"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","2002","11561.2113"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","2003","11578.5792"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","2004","12157.5081"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Eggs, hen, in shell","2005","12736.4371"
