Domain,Area,Element,Item,Year,Value
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1961","10800.2038"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1962","13347.7637"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1963","14927.0589"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1964","14327.7585"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1965","13156.8833"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1966","12842.3057"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1967","12743.1315"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1968","13103.5648"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1969","13103.5648"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1970","12781.5208"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1971","12973.4676"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1972","13265.6532"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1973","12956.4056"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1974","13545.0423"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1975","13984.3871"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1976","14383.2098"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1977","13831.8978"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1978","14326.4789"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1979","15493.5151"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1980","16992.406"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1981","17014.7998"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1982","16496.3303"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1983","15845.2042"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1984","14311.7647"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1985","13281.0106"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1986","12952.9932"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1987","14134.7454"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1988","16200.3057"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1989","19000.9026"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1990","20306.0467"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1991","20527.6189"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1992","20130.9486"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1993","20610.8155"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1994","22334.284"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1995","26008.5976"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1996","31625.7173"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1997","26053.1457"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1998","28521.3676"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","1999","29985.9213"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2000","31364.7388"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2001","31631.9713"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2002","30805.9605"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2003","31391.1848"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2004","31677.3987"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2005","32152.147"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2006","30986.6037"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2007","29073.5344"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2008","30290.2635"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2009","32181.3656"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2010","31788.7278"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2011","29979.7364"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2012","30127.6207"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2013","29828.8449"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2014","29606.8051"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2015","30578.9751"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2016","31484.8851"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, goat","2017","29542.6922"
