Domain,Area,Element,Item,Year,Value
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1961","9483.031"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1962","8704.9775"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1963","11523.2601"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1964","15192.2145"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1965","17574.7872"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1966","19240.9752"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1967","22288.0622"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1968","21907.6805"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1969","20590.1766"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1970","19884.7415"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1971","23756.6823"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1972","28857.1389"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1973","30393.6504"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1974","29732.0168"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1975","30059.3756"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1976","32409.6642"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1977","33110.1641"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1978","33632.3152"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1979","34728.2866"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1980","36851.5044"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1981","35206.1751"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1982","33853.9822"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1983","34670.0665"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1984","34411.3959"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1985","35363.0417"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1986","38199.0939"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1987","38867.046"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1988","37399.1286"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1989","39052.0369"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1990","39854.1831"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1991","41773.7487"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1992","42608.0525"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1993","44286.919"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1994","45300.1176"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1995","47791.5485"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1996","50912.5804"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1997","41823.083"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1998","46146.9856"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","1999","48707.646"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2000","49731.1033"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2001","47989.8772"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2002","48355.1589"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2003","48154.2482"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2004","47699.6345"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2005","48554.4559"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2006","49932.7065"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2007","48239.7765"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2008","50705.4577"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2009","53358.6768"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2010","54170.9646"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2011","53553.1325"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2012","54017.348"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2013","54858.1875"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2014","54649.6231"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2015","53694.6114"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2016","51999.9072"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, pig","2017","50145.5003"
