Domain,Area,Element,Item,Year,Value
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1961","9682.6258"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1962","9489.5195"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1963","10127.3556"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1964","11184.5641"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1965","12064.2709"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1966","12729.415"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1967","12596.7763"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1968","13425.7682"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1969","13363.35"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1970","12817.1906"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1971","13952.4219"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1972","14264.513"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1973","14371.7943"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1974","15308.0676"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1975","15526.5313"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1976","15571.3944"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1977","15001.0495"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1978","15142.6593"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1979","15662.4876"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1980","16827.1709"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1981","17579.8971"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1982","18075.9254"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1983","17471.2489"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1984","15881.5349"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1985","15115.5479"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1986","14865.2883"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1987","15684.3339"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1988","16156.2726"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1989","17645.8833"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1990","17777.0981"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1991","18065.3923"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1992","17663.38"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1993","17168.7156"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1994","17383.0831"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1995","17544.2587"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1996","18971.8413"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1997","16272.6241"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1998","17292.9668"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","1999","18013.8972"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2000","18158.8245"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2001","17794.2631"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2002","17872.676"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2003","18432.2944"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2004","20245.9337"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2005","21905.8681"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2006","21521.9961"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2007","20582.0167"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2008","20062.9703"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2009","16200.8431"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2010","16486.4065"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2011","18557.716"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2012","18689.4769"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2013","19443.2354"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2014","20581.8607"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2015","22885.2712"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2016","23416.8208"
"Emissions intensities","China, mainland","Emissions (CO2eq)","Meat, sheep","2017","23308.6196"
