Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,ValueK,Flag,Flag Description
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1961,1961,gigagrams,22642.4672,22.64,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1962,1962,gigagrams,24770.9787,24.77,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1963,1963,gigagrams,24611.6004,24.61,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1964,1964,gigagrams,24235.3704,24.24,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1965,1965,gigagrams,24332.9962,24.33,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1966,1966,gigagrams,25040.7904,25.04,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1967,1967,gigagrams,25670.185,25.67,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1968,1968,gigagrams,26540.4641,26.54,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1969,1969,gigagrams,26515.7279,26.52,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1970,1970,gigagrams,26962.2977,26.96,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1971,1971,gigagrams,26822.5559,26.82,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1972,1972,gigagrams,26692.845,26.69,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1973,1973,gigagrams,27801.0521,27.8,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1974,1974,gigagrams,29886.6434,29.89,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1975,1975,gigagrams,30494.0697,30.49,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1976,1976,gigagrams,30472.9659,30.47,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1977,1977,gigagrams,30201.9562,30.2,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1978,1978,gigagrams,30100.7237,30.1,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1979,1979,gigagrams,30235.1203,30.24,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1980,1980,gigagrams,30508.2145,30.51,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1981,1981,gigagrams,30020.4575,30.02,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1982,1982,gigagrams,29910.9125,29.91,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1983,1983,gigagrams,30187.4944,30.19,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1984,1984,gigagrams,30931.0208,30.93,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1985,1985,gigagrams,30775.9014,30.78,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1986,1986,gigagrams,30740.3945,30.74,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1987,1987,gigagrams,28930.9125,28.93,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1988,1988,gigagrams,28598.1393,28.6,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1989,1989,gigagrams,28861.3109,28.86,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1990,1990,gigagrams,29052.5142,29.05,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1991,1991,gigagrams,29441.7919,29.44,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1992,1992,gigagrams,29122.9474,29.12,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1993,1993,gigagrams,28964.8111,28.96,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1994,1994,gigagrams,29022.7114,29.02,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1995,1995,gigagrams,29352.3248,29.35,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1996,1996,gigagrams,29458.3016,29.46,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1997,1997,gigagrams,29102.1074,29.1,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1998,1998,gigagrams,28928.4194,28.93,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",1999,1999,gigagrams,29032.7696,29.03,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2000,2000,gigagrams,31015.3058,31.02,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2001,2001,gigagrams,30772.2251,30.77,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2002,2002,gigagrams,29663.8897,29.66,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2003,2003,gigagrams,28675.7347,28.68,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2004,2004,gigagrams,28358.233,28.36,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2005,2005,gigagrams,28297.303,28.3,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2006,2006,gigagrams,28671.6957,28.67,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2007,2007,gigagrams,29326.3192,29.33,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2008,2008,gigagrams,29644.3851,29.64,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2009,2009,gigagrams,29413.5589,29.41,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),867,"Meat, cattle",2010,2010,gigagrams,29013.1441,29.01,Fc,Calculated data
