Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,ValueK,Flag,Flag Description
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1961,1961,gigagrams,432.2713,0.43,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1962,1962,gigagrams,436.8753,0.44,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1963,1963,gigagrams,445.968,0.45,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1964,1964,gigagrams,444.7403,0.44,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1965,1965,gigagrams,476.0471,0.48,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1966,1966,gigagrams,304.0133,0.3,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1967,1967,gigagrams,273.1055,0.27,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1968,1968,gigagrams,368.242,0.37,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1969,1969,gigagrams,399.5795,0.4,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1970,1970,gigagrams,372.5314,0.37,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1971,1971,gigagrams,398.839,0.4,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1972,1972,gigagrams,388.53,0.39,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1973,1973,gigagrams,330.9463,0.33,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1974,1974,gigagrams,342.0111,0.34,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1975,1975,gigagrams,385.2037,0.39,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1976,1976,gigagrams,390.3947,0.39,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1977,1977,gigagrams,410.3412,0.41,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1978,1978,gigagrams,401.1027,0.4,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1979,1979,gigagrams,392.8317,0.39,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1980,1980,gigagrams,397.82,0.4,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1981,1981,gigagrams,431.4848,0.43,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1982,1982,gigagrams,415.9657,0.42,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1983,1983,gigagrams,442.3616,0.44,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1984,1984,gigagrams,443.5126,0.44,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1985,1985,gigagrams,537.736,0.54,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1986,1986,gigagrams,519.8766,0.52,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1058,"Meat, chicken",1987,1987,gigagrams,522.52,0.52,Fc,Calculated data
