Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1961","1961","gigagrams","27612.8945","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1962","1962","gigagrams","27303.5063","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1963","1963","gigagrams","26491.3624","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1964","1964","gigagrams","26336.6683","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1965","1965","gigagrams","26916.7711","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1966","1966","gigagrams","26955.4446","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1967","1967","gigagrams","27728.9151","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1968","1968","gigagrams","27806.2621","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1969","1969","gigagrams","27419.5269","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1970","1970","gigagrams","27071.4652","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1971","1971","gigagrams","27380.8534","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1972","1972","gigagrams","27813.6101","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1973","1973","gigagrams","28353.1753","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1974","1974","gigagrams","28561.3587","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1975","1975","gigagrams","28589.9191","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1976","1976","gigagrams","28777.5979","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1977","1977","gigagrams","28433.1792","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1978","1978","gigagrams","28344.8837","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1979","1979","gigagrams","28618.4061","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1980","1980","gigagrams","28092.4462","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1981","1981","gigagrams","28081.575","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1982","1982","gigagrams","27705.7109","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1983","1983","gigagrams","27752.1192","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1984","1984","gigagrams","27098.9273","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1985","1985","gigagrams","25832.9534","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1986","1986","gigagrams","25168.9136","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1987","1987","gigagrams","23873.1765","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1988","1988","gigagrams","22150.8899","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1989","1989","gigagrams","21738.3865","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1990","1990","gigagrams","21400.4186","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1991","1991","gigagrams","19430.4784","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1992","1992","gigagrams","18393.417","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1993","1993","gigagrams","17920.0453","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1994","1994","gigagrams","17814.455","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1995","1995","gigagrams","17465.8674","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1996","1996","gigagrams","17116.5217","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1997","1997","gigagrams","16697.5869","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1998","1998","gigagrams","16470.4728","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1999","1999","gigagrams","16309.5252","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2000","2000","gigagrams","16723.6954","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2001","2001","gigagrams","16779.4858","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2002","2002","gigagrams","16502.5254","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2003","2003","gigagrams","15924.7623","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2004","2004","gigagrams","15604.213","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2005","2005","gigagrams","15364.8509","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2006","2006","gigagrams","15013.8153","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2007","2007","gigagrams","14987.1112","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2008","2008","gigagrams","14941.2637","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2009","2009","gigagrams","14494.3951","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2010","2010","gigagrams","14372.1481","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2011","2011","gigagrams","14170.5701","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2012","2012","gigagrams","14089.5374","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2013","2013","gigagrams","14298.4982","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2014","2014","gigagrams","14303.2086","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2015","2015","gigagrams","14159.084","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2016","2016","gigagrams","14039.7298","Fc","Calculated data"
"EI","Emissions intensities","68","France","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2017","2017","gigagrams","14038.4884","Fc","Calculated data"
