Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,ValueK,Flag,Flag Description
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1961,1961,gigagrams,531.7627,0.53,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1962,1962,gigagrams,549.3805,0.55,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1963,1963,gigagrams,555.5467,0.56,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1964,1964,gigagrams,578.2541,0.58,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1965,1965,gigagrams,547.3251,0.55,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1966,1966,gigagrams,575.122,0.58,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1967,1967,gigagrams,653.9713,0.65,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1968,1968,gigagrams,607.0201,0.61,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1969,1969,gigagrams,599.4836,0.6,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1970,1970,gigagrams,662.2027,0.66,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1971,1971,gigagrams,574.3489,0.57,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1972,1972,gigagrams,543.9876,0.54,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1973,1973,gigagrams,702.1656,0.7,Fc,Calculated data
EI,Emissions intensities,68,France,7231,Emissions (CO2eq),1062,"Eggs, hen, in shell",1974,1974,gigagrams,713.7151,0.71,Fc,Calculated data
