Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1961","1961","gigagrams","17413.7011","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1962","1962","gigagrams","17836.627","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1963","1963","gigagrams","17905.4874","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1964","1964","gigagrams","17582.0305","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1965","1965","gigagrams","17749.1677","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1966","1966","gigagrams","18916.3924","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1967","1967","gigagrams","19740.5965","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1968","1968","gigagrams","19966.7741","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1969","1969","gigagrams","20279.3152","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1970","1970","gigagrams","21342.604","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1971","1971","gigagrams","21079.1413","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1972","1972","gigagrams","20645.0301","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1973","1973","gigagrams","21210.9518","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1974","1974","gigagrams","22284.7214","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1975","1975","gigagrams","22737.3004","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1976","1976","gigagrams","22766.4912","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1977","1977","gigagrams","22594.1172","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1978","1978","gigagrams","23179.4824","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1979","1979","gigagrams","23698.9633","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1980","1980","gigagrams","23802.222","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1981","1981","gigagrams","23923.6974","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1982","1982","gigagrams","23460.8342","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1983","1983","gigagrams","23589.8871","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1984","1984","gigagrams","24850.1173","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1985","1985","gigagrams","25510.3187","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1986","1986","gigagrams","25504.1063","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1987","1987","gigagrams","25506.0139","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1988","1988","gigagrams","24718.5889","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1989","1989","gigagrams","24484.7446","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1990","1990","gigagrams","25361.5856","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1991","1991","gigagrams","25220.8396","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1992","1992","gigagrams","21421.6958","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1993","1993","gigagrams","19851.8369","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1994","1994","gigagrams","19299.7306","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1995","1995","gigagrams","19454.8435","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1996","1996","gigagrams","19403.2915","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1997","1997","gigagrams","19230.295","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1998","1998","gigagrams","18681.4633","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","1999","1999","gigagrams","18470.0858","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2000","2000","gigagrams","18256.5332","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2001","2001","gigagrams","18256.2347","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2002","2002","gigagrams","17806.3933","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2003","2003","gigagrams","16889.1946","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2004","2004","gigagrams","16212.2528","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2005","2005","gigagrams","16066.0899","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2006","2006","gigagrams","15775.2202","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2007","2007","gigagrams","15681.9253","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2008","2008","gigagrams","15930.4168","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2009","2009","gigagrams","15940.4625","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2010","2010","gigagrams","15704.4376","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2011","2011","gigagrams","15239.7087","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2012","2012","gigagrams","15083.9114","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2013","2013","gigagrams","15143.0774","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2014","2014","gigagrams","15374.428","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2015","2015","gigagrams","15200.2466","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2016","2016","gigagrams","15014.7107","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","867","Meat, cattle","2017","2017","gigagrams","14711.2797","Fc","Calculated data"
