Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1961","1961","gigagrams","30660.6497","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1962","1962","gigagrams","30850.3477","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1963","1963","gigagrams","30850.9974","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1964","1964","gigagrams","30632.3022","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1965","1965","gigagrams","30693.6909","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1966","1966","gigagrams","30946.4499","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1967","1967","gigagrams","30932.2147","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1968","1968","gigagrams","30870.0802","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1969","1969","gigagrams","30865.4286","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1970","1970","gigagrams","29723.9154","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1971","1971","gigagrams","29352.9267","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1972","1972","gigagrams","29173.0123","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1973","1973","gigagrams","29286.7481","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1974","1974","gigagrams","29226.1205","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1975","1975","gigagrams","28921.4066","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1976","1976","gigagrams","28898.3835","Fc","Calculated data"
