Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1961","1961","gigagrams","822.3653","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1962","1962","gigagrams","782.8194","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1963","1963","gigagrams","787.594","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1964","1964","gigagrams","821.1663","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1965","1965","gigagrams","852.0903","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1966","1966","gigagrams","897.6096","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1967","1967","gigagrams","908.9381","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1968","1968","gigagrams","910.002","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1969","1969","gigagrams","935.5037","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1970","1970","gigagrams","946.1343","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1971","1971","gigagrams","930.5071","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1972","1972","gigagrams","922.0647","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1973","1973","gigagrams","871.8038","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1974","1974","gigagrams","928.1452","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1975","1975","gigagrams","872.2504","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1976","1976","gigagrams","835.923","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1977","1977","gigagrams","856.0806","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1978","1978","gigagrams","838.3154","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1979","1979","gigagrams","799.3129","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1980","1980","gigagrams","805.525","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1981","1981","gigagrams","793.2323","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1982","1982","gigagrams","781.2975","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1983","1983","gigagrams","750.8983","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1984","1984","gigagrams","758.2097","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1985","1985","gigagrams","751.6911","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1986","1986","gigagrams","729.1795","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1987","1987","gigagrams","710.583","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1988","1988","gigagrams","690.029","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1989","1989","gigagrams","678.2838","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1990","1990","gigagrams","681.2201","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1991","1991","gigagrams","571.5985","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1992","1992","gigagrams","532.4479","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1993","1993","gigagrams","496.2336","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1994","1994","gigagrams","506.0212","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1995","1995","gigagrams","496.2336","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1996","1996","gigagrams","495.2548","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1997","1997","gigagrams","494.2761","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1998","1998","gigagrams","491.3398","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1999","1999","gigagrams","490.361","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2000","2000","gigagrams","492.3185","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2001","2001","gigagrams","488.4035","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2002","2002","gigagrams","475.6795","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2003","2003","gigagrams","445.3378","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2004","2004","gigagrams","433.5927","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2005","2005","gigagrams","423.805","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2006","2006","gigagrams","414.8983","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2007","2007","gigagrams","405.4043","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2008","2008","gigagrams","404.4548","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2009","2009","gigagrams","359.2066","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2010","2010","gigagrams","326.9073","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2011","2011","gigagrams","383.6757","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2012","2012","gigagrams","405.2085","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2013","2013","gigagrams","422.8263","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2014","2014","gigagrams","432.6139","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2015","2015","gigagrams","393.1208","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2016","2016","gigagrams","395.4013","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2017","2017","gigagrams","397.075","Fc","Calculated data"
