Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1961","1961","gigagrams","26.6456","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1962","1962","gigagrams","37.9907","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1963","1963","gigagrams","25.7035","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1964","1964","gigagrams","30.6871","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1965","1965","gigagrams","30.3281","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1966","1966","gigagrams","21.3013","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1967","1967","gigagrams","22.8018","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1968","1968","gigagrams","19.6382","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1969","1969","gigagrams","16.8729","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1970","1970","gigagrams","13.2841","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1971","1971","gigagrams","11.6203","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1972","1972","gigagrams","10.8354","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1973","1973","gigagrams","8.3964","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1974","1974","gigagrams","6.6404","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1975","1975","gigagrams","5.7253","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1976","1976","gigagrams","4.8819","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1977","1977","gigagrams","2.8281","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1978","1978","gigagrams","2.3142","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1979","1979","gigagrams","2.1016","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1980","1980","gigagrams","2.1246","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1981","1981","gigagrams","2.2352","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1982","1982","gigagrams","2.3067","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1983","1983","gigagrams","2.5141","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1984","1984","gigagrams","4.4303","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1985","1985","gigagrams","4.3361","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1986","1986","gigagrams","3.884","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1987","1987","gigagrams","3.7502","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1988","1988","gigagrams","4.5229","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1989","1989","gigagrams","5.4368","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1990","1990","gigagrams","9.8425","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1991","1991","gigagrams","10.5456","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1992","1992","gigagrams","8.9051","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1993","1993","gigagrams","13.2405","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1994","1994","gigagrams","12.6547","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1995","1995","gigagrams","15.6827","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1996","1996","gigagrams","14.5294","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1997","1997","gigagrams","15.7012","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1998","1998","gigagrams","18.0446","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","1999","1999","gigagrams","23.4346","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2000","2000","gigagrams","22.7315","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2001","2001","gigagrams","26.9498","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2002","2002","gigagrams","30.3478","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2003","2003","gigagrams","28.923","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2004","2004","gigagrams","30.2306","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2005","2005","gigagrams","31.5664","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2006","2006","gigagrams","31.6367","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2007","2007","gigagrams","33.5114","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2008","2008","gigagrams","35.3862","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2009","2009","gigagrams","33.9801","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2010","2010","gigagrams","25.4026","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2011","2011","gigagrams","27.1918","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2012","2012","gigagrams","27.5483","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2013","2013","gigagrams","21.8654","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2014","2014","gigagrams","19.5238","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2015","2015","gigagrams","18.2862","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2016","2016","gigagrams","23.3912","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1017","Meat, goat","2017","2017","gigagrams","23.6012","Fc","Calculated data"
