Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1961","1961","gigagrams","5958.4839","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1962","1962","gigagrams","6445.1741","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1963","1963","gigagrams","6159.2253","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1964","1964","gigagrams","6410.6116","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1965","1965","gigagrams","6651.4251","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1966","1966","gigagrams","6576.0469","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1967","1967","gigagrams","6673.3262","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1968","1968","gigagrams","6992.7734","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1969","1969","gigagrams","6984.9181","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1970","1970","gigagrams","7060.4901","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1971","1971","gigagrams","7577.7041","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1972","1972","gigagrams","7411.4819","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1973","1973","gigagrams","7512.5465","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1974","1974","gigagrams","7737.9973","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1975","1975","gigagrams","7849.6508","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1976","1976","gigagrams","7739.3224","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1977","1977","gigagrams","7881.302","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1978","1978","gigagrams","8193.4592","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1979","1979","gigagrams","8497.9866","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1980","1980","gigagrams","8530.2194","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","1035","Meat, pig","1981","1981","gigagrams","8757.2919","Fc","Calculated data"
