Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1961","1961","gigagrams","861.4225","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1962","1962","gigagrams","829.6988","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1963","1963","gigagrams","782.5931","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1964","1964","gigagrams","789.6208","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1965","1965","gigagrams","793.9109","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1966","1966","gigagrams","778.924","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1967","1967","gigagrams","773.3921","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1968","1968","gigagrams","741.8095","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1969","1969","gigagrams","740.3983","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1970","1970","gigagrams","715.9846","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1971","1971","gigagrams","688.6638","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1972","1972","gigagrams","693.5748","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1973","1973","gigagrams","723.7518","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1974","1974","gigagrams","778.2082","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1975","1975","gigagrams","814.8654","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1976","1976","gigagrams","838.1183","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1977","1977","gigagrams","835.8042","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1978","1978","gigagrams","864.3722","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1979","1979","gigagrams","875.1924","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1980","1980","gigagrams","881.9204","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1981","1981","gigagrams","907.9471","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1982","1982","gigagrams","924.9074","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1983","1983","gigagrams","951.2389","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1984","1984","gigagrams","1009.5538","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1985","1985","gigagrams","1080.161","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1986","1986","gigagrams","1095.9842","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1987","1987","gigagrams","1137.4175","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1988","1988","gigagrams","1148.6069","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1989","1989","gigagrams","1156.8082","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1990","1990","gigagrams","1167.1291","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1991","1991","gigagrams","917.8421","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1992","1992","gigagrams","847.5645","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1993","1993","gigagrams","847.0001","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1994","1994","gigagrams","813.4136","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1995","1995","gigagrams","843.8954","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1996","1996","gigagrams","833.7348","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1997","1997","gigagrams","813.9781","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1998","1998","gigagrams","810.0267","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","1999","1999","gigagrams","768.8198","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","2000","2000","gigagrams","774.1823","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","2001","2001","gigagrams","762.046","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","2002","2002","gigagrams","782.085","Fc","Calculated data"
"EI","Emissions intensities","79","Germany","7231","Emissions (CO2eq)","977","Meat, sheep","2003","2003","gigagrams","768.2553","Fc","Calculated data"
