Domain,Area,Element,Item,Year,Value,ValueK
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1961,111053.5911,111.05
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1962,111603.3706,111.6
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1963,112263.535,112.26
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1964,114398.8308,114.4
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1965,115115.6154,115.12
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1966,111272.2161,111.27
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1967,113208.9683,113.21
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1968,112495.0508,112.5
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1969,112489.3165,112.49
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1970,113873.4219,113.87
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1971,113042.6742,113.04
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1972,112069.2807,112.07
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1973,113854.797,113.85
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1974,113237.6397,113.24
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1975,113507.8732,113.51
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1976,113287.8146,113.29
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1977,112605.4356,112.61
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1978,113604.6334,113.6
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1979,114040.4385,114.04
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1980,115545.6862,115.55
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1981,116979.2556,116.98
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1982,119597.6756,119.6
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1983,119700.8926,119.7
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1984,119956.779,119.96
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1985,121007.5853,121.01
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1986,121491.4207,121.49
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1987,121765.2324,121.77
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1988,122319.3012,122.32
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1989,122856.8897,122.86
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1990,123358.639,123.36
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1991,123860.3882,123.86
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1992,124019.5144,124.02
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1993,123239.6527,123.24
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1994,122090.1022,122.09
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1995,121097.2909,121.1
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1996,120088.7606,120.09
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1997,118693.0877,118.69
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1998,116925.5024,116.93
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",1999,115253.2381,115.25
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2000,113998.1482,114
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2001,111497.2865,111.5
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2002,109511.793,109.51
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2003,107071.8523,107.07
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2004,109340.4815,109.34
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2005,111413.417,111.41
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2006,114009.6225,114.01
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2007,114216.7732,114.22
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2008,112479.9925,112.48
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2009,110638.5842,110.64
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2010,108542.6944,108.54
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2011,106684.8001,106.68
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2012,104930.661,104.93
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2013,103366.6147,103.37
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2014,101103.0776,101.1
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2015,98808.27,98.81
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2016,98137.7165,98.14
Emissions intensities,India,Emissions (CO2eq),"Meat, cattle",2017,96191.3122,96.19
