Domain,Area,Element,Item,Year,Value,ValueK
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1961,34606.5428,34.61
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1962,30475.5811,30.48
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1963,29052.271,29.05
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1964,27126.6162,27.13
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1965,25619.5819,25.62
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1966,35120.5955,35.12
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1967,30884.1548,30.88
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1968,33132.9982,33.13
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1969,33740.8219,33.74
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1970,31103.5254,31.1
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1971,33667.1447,33.67
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1972,36895.5469,36.9
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1973,32635.6635,32.64
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1974,34494.3391,34.49
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1975,35331.5803,35.33
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1976,37340.9593,37.34
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1977,38827.8997,38.83
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1978,39350.3383,39.35
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1979,42196.9585,42.2
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1980,42364.4067,42.36
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1981,42699.3032,42.7
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1982,42866.7515,42.87
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1983,44876.1304,44.88
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1984,46550.6129,46.55
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1985,46383.1647,46.38
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1986,47555.3024,47.56
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1987,49929.7186,49.93
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1988,50234.4744,50.23
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1989,50569.3709,50.57
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1990,50904.2674,50.9
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1991,51406.6121,51.41
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1992,52850.016,52.85
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1993,53081.0946,53.08
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1994,54175.8042,54.18
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1995,54904.3548,54.9
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1996,55669.6268,55.67
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1997,55745.1962,55.75
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1998,55944.4596,55.94
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",1999,55967.9024,55.97
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2000,55062.0074,55.06
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2001,57113.2484,57.11
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2002,58004.0731,58
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2003,59951.4962,59.95
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2004,60326.5803,60.33
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2005,61262.616,61.26
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2006,61081.7719,61.08
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2007,66525.5144,66.53
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2008,67853.379,67.85
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2009,69425.7181,69.43
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2010,71592.4984,71.59
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2011,73203.3505,73.2
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2012,74536.7912,74.54
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2013,75002.1734,75
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2014,76941.0633,76.94
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2015,78982.5087,78.98
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2016,82264.4273,82.26
Emissions intensities,India,Emissions (CO2eq),"Milk, whole fresh cow",2017,85239.8487,85.24
