Domain,Area,Element,Item,Year,Value,ValueK
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1961,11919.3536,11.92
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1962,12066.644,12.07
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1963,12224.2404,12.22
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1964,12382.2662,12.38
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1965,12517.5328,12.52
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1966,12643.9981,12.64
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1967,12681.9999,12.68
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1968,12678.3498,12.68
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1969,12782.9131,12.78
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1970,12888.1205,12.89
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1971,12888.1205,12.89
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1972,12993.7573,12.99
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1973,13311.956,13.31
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1974,13634.0194,13.63
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1975,13848.7284,13.85
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1976,14170.7919,14.17
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1977,14411.2659,14.41
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1978,15136.9822,15.14
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1979,15888.4636,15.89
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1980,16618.4741,16.62
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1981,17284.0719,17.28
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1982,18132.8181,18.13
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1983,18529.3839,18.53
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1984,18664.6505,18.66
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1985,18527.2368,18.53
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1986,19081.1859,19.08
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1987,20656.5056,20.66
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1988,20655.0027,20.66
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1989,20869.7116,20.87
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1990,19194.9817,19.19
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1991,19495.5742,19.5
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1992,20007.011,20.01
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1993,19860.5795,19.86
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1994,19952.4964,19.95
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1995,20497.0198,20.5
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1996,21032.4396,21.03
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1997,21563.6081,21.56
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1998,21576.3189,21.58
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",1999,20106.8507,20.11
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2000,20782.9692,20.78
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2001,20369.8692,20.37
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2002,19823.0054,19.82
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2003,19949.2543,19.95
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2004,21473.2585,21.47
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2005,22005.0927,22.01
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2006,23016.5866,23.02
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2007,23464.0401,23.46
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2008,23426.6825,23.43
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2009,22946.3768,22.95
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2010,22935.4249,22.94
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2011,22621.5221,22.62
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2012,22182.2089,22.18
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2013,22133.9363,22.13
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2014,21915.6041,21.92
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2015,21378.109,21.38
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2016,21388.0661,21.39
Emissions intensities,India,Emissions (CO2eq),"Meat, goat",2017,20872.3538,20.87
