Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1961","1961","gigagrams","5104.5402","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1962","1962","gigagrams","4945.2598","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1963","1963","gigagrams","5003.4808","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1964","1964","gigagrams","5003.4808","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1965","1965","gigagrams","5206.3723","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1966","1966","gigagrams","4975.2524","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1967","1967","gigagrams","4405.392","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1968","1968","gigagrams","5172.8511","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1969","1969","gigagrams","5186.9653","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1970","1970","gigagrams","5089.9303","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1971","1971","gigagrams","5148.1513","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1972","1972","gigagrams","4978.781","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1973","1973","gigagrams","4015.4874","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1974","1974","gigagrams","4260.7215","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1975","1975","gigagrams","4290.7142","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1976","1976","gigagrams","4029.6016","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1977","1977","gigagrams","4043.7158","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1978","1978","gigagrams","4079.0013","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1979","1979","gigagrams","4290.7142","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1980","1980","gigagrams","4334.821","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1981","1981","gigagrams","4389.5135","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1982","1982","gigagrams","4433.6204","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","947","Meat, buffalo","1983","1983","gigagrams","4230.7289","Fc","Calculated data"
