Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1961","1961","gigagrams","535.3777","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1962","1962","gigagrams","586.8418","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1963","1963","gigagrams","586.8418","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1964","1964","gigagrams","585.8455","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1965","1965","gigagrams","642.0389","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1966","1966","gigagrams","642.4374","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1967","1967","gigagrams","561.7342","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1968","1968","gigagrams","682.8886","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1969","1969","gigagrams","573.4909","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1970","1970","gigagrams","631.4777","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1971","1971","gigagrams","673.9216","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1972","1972","gigagrams","667.5451","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1973","1973","gigagrams","522.4785","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1974","1974","gigagrams","579.0704","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1975","1975","gigagrams","539.4163","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1976","1976","gigagrams","587.2404","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1977","1977","gigagrams","593.6169","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1978","1978","gigagrams","578.2734","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1979","1979","gigagrams","634.2674","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1980","1980","gigagrams","628.688","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1981","1981","gigagrams","670.3348","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1982","1982","gigagrams","714.7714","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1983","1983","gigagrams","846.487","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1984","1984","gigagrams","1018.6538","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1985","1985","gigagrams","1107.9255","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1986","1986","gigagrams","1238.6448","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1987","1987","gigagrams","1263.1547","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1988","1988","gigagrams","1292.0484","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1989","1989","gigagrams","1382.1172","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1990","1990","gigagrams","1421.8995","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1991","1991","gigagrams","1516.7381","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1992","1992","gigagrams","1621.0385","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1993","1993","gigagrams","1734.4973","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1994","1994","gigagrams","1765.1181","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1995","1995","gigagrams","1538.3737","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1996","1996","gigagrams","1513.8746","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1997","1997","gigagrams","1640.5346","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1998","1998","gigagrams","1553.7974","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","1999","1999","gigagrams","1403.2036","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2000","2000","gigagrams","1067.4412","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2001","2001","gigagrams","1069.9304","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2002","2002","gigagrams","1181.0181","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2003","2003","gigagrams","1225.6","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2004","2004","gigagrams","1191.6472","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2005","2005","gigagrams","1355.1559","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2006","2006","gigagrams","1239.0836","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2007","2007","gigagrams","1337.2338","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2008","2008","gigagrams","1362.4949","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2009","2009","gigagrams","1389.8352","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2010","2010","gigagrams","1489.8542","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2011","2011","gigagrams","1499.4431","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2012","2012","gigagrams","1574.2831","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2013","2013","gigagrams","1514.1703","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2014","2014","gigagrams","1533.1876","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2015","2015","gigagrams","1555.8955","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2016","2016","gigagrams","1574.8982","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1035","Meat, pig","2017","2017","gigagrams","1621.6913","Fc","Calculated data"
