Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1961","1961","gigagrams","422.4634","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1962","1962","gigagrams","405.9347","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1963","1963","gigagrams","408.0992","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1964","1964","gigagrams","408.4927","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1965","1965","gigagrams","460.0463","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1966","1966","gigagrams","448.2401","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1967","1967","gigagrams","433.6792","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1968","1968","gigagrams","523.2092","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1969","1969","gigagrams","353.7909","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1970","1970","gigagrams","395.8995","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1971","1971","gigagrams","373.0743","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1972","1972","gigagrams","353.3974","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1973","1973","gigagrams","409.2798","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1974","1974","gigagrams","394.1286","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1975","1975","gigagrams","398.2608","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1976","1976","gigagrams","433.4824","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1977","1977","gigagrams","445.4853","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1978","1978","gigagrams","425.2181","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1979","1979","gigagrams","486.2166","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1980","1980","gigagrams","496.6453","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1981","1981","gigagrams","507.0741","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1982","1982","gigagrams","517.6996","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1983","1983","gigagrams","568.4661","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1984","1984","gigagrams","550.5601","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1985","1985","gigagrams","577.5174","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1986","1986","gigagrams","626.513","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1987","1987","gigagrams","630.4483","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1988","1988","gigagrams","693.6112","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1989","1989","gigagrams","690.7384","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1990","1990","gigagrams","699.3085","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1991","1991","gigagrams","729.1086","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1992","1992","gigagrams","734.9328","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1993","1993","gigagrams","745.5388","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1994","1994","gigagrams","795.2207","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","977","Meat, sheep","1995","1995","gigagrams","849.9024","Fc","Calculated data"
