Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1961","1961","gigagrams","11842.1316","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1962","1962","gigagrams","11124.5274","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1963","1963","gigagrams","10663.0891","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1964","1964","gigagrams","9790.3302","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1965","1965","gigagrams","10701.6469","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1966","1966","gigagrams","10994.8933","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1967","1967","gigagrams","11113.8169","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1968","1968","gigagrams","11190.2678","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1969","1969","gigagrams","11716.9295","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1970","1970","gigagrams","11094.6118","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1971","1971","gigagrams","10169.7223","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1972","1972","gigagrams","10057.1696","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1973","1973","gigagrams","10117.3701","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1974","1974","gigagrams","9893.3727","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1975","1975","gigagrams","9647.5849","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1976","1976","gigagrams","10275.0731","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","867","Meat, cattle","1977","1977","gigagrams","10786.0383","Fc","Calculated data"
