Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1961","1961","gigagrams","20.8918","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1962","1962","gigagrams","40.4661","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1963","1963","gigagrams","47.2418","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1964","1964","gigagrams","52.1354","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1965","1965","gigagrams","54.5822","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1966","1966","gigagrams","54.5822","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1967","1967","gigagrams","54.5822","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1968","1968","gigagrams","59.2875","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1969","1969","gigagrams","63.9929","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1970","1970","gigagrams","70.7686","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1971","1971","gigagrams","73.2342","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1972","1972","gigagrams","68.9994","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1973","1973","gigagrams","83.0025","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1974","1974","gigagrams","97.3068","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1975","1975","gigagrams","106.5293","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1976","1976","gigagrams","90.3429","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1977","1977","gigagrams","80.5557","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1978","1978","gigagrams","79.9911","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1979","1979","gigagrams","82.0615","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1980","1980","gigagrams","87.1432","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1981","1981","gigagrams","106.7175","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1982","1982","gigagrams","106.5293","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1983","1983","gigagrams","105.9647","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1984","1984","gigagrams","105.2118","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1985","1985","gigagrams","81.1204","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1986","1986","gigagrams","83.9436","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1987","1987","gigagrams","85.0729","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1988","1988","gigagrams","87.7079","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1989","1989","gigagrams","94.4836","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1990","1990","gigagrams","117.634","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1991","1991","gigagrams","116.3165","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1992","1992","gigagrams","98.4361","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1993","1993","gigagrams","123.845","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1994","1994","gigagrams","119.1397","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1995","1995","gigagrams","127.2329","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1996","1996","gigagrams","201.954","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1997","1997","gigagrams","190.0965","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1998","1998","gigagrams","225.8572","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","1999","1999","gigagrams","244.6787","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2000","2000","gigagrams","233.3858","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2001","2001","gigagrams","303.0251","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2002","2002","gigagrams","303.0251","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2003","2003","gigagrams","303.0251","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2004","2004","gigagrams","312.4358","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","951","Milk, whole fresh buffalo","2005","2005","gigagrams","290.1776","Fc","Calculated data"
