Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1961","1961","gigagrams","13448.0904","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1962","1962","gigagrams","13770.23","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1963","1963","gigagrams","13305.0616","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1964","1964","gigagrams","13024.637","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1965","1965","gigagrams","13343.3103","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1966","1966","gigagrams","13518.9942","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1967","1967","gigagrams","13726.1909","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1968","1968","gigagrams","13704.5258","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1969","1969","gigagrams","14491.9521","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1970","1970","gigagrams","14003.5036","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1971","1971","gigagrams","12660.8217","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1972","1972","gigagrams","12467.2543","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1973","1973","gigagrams","12837.5297","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1974","1974","gigagrams","12014.2577","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1975","1975","gigagrams","11537.6264","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1976","1976","gigagrams","11352.4887","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1977","1977","gigagrams","11407.6361","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1978","1978","gigagrams","11602.2277","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1979","1979","gigagrams","11857.4814","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1980","1980","gigagrams","12109.5839","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1981","1981","gigagrams","11866.5414","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1982","1982","gigagrams","11881.116","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1983","1983","gigagrams","11991.017","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1984","1984","gigagrams","12085.9493","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1985","1985","gigagrams","12503.1001","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1986","1986","gigagrams","12114.3108","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1987","1987","gigagrams","11900.0237","Fc","Calculated data"
