Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1961","1961","gigagrams","362.1429","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1962","1962","gigagrams","371.9305","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1963","1963","gigagrams","411.0811","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1964","1964","gigagrams","469.807","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1965","1965","gigagrams","469.807","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1966","1966","gigagrams","479.5946","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1967","1967","gigagrams","469.807","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1968","1968","gigagrams","479.5946","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1969","1969","gigagrams","479.5946","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1970","1970","gigagrams","489.3822","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1971","1971","gigagrams","518.7452","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1972","1972","gigagrams","538.3205","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1973","1973","gigagrams","538.3205","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1974","1974","gigagrams","557.8958","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1975","1975","gigagrams","538.3205","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1976","1976","gigagrams","538.3205","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1977","1977","gigagrams","518.7452","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1978","1978","gigagrams","508.9575","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1979","1979","gigagrams","499.1699","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1980","1980","gigagrams","479.5946","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1981","1981","gigagrams","452.5807","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1982","1982","gigagrams","447.2073","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1983","1983","gigagrams","450.2317","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1984","1984","gigagrams","430.6564","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1985","1985","gigagrams","475.6208","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1986","1986","gigagrams","452.7079","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1987","1987","gigagrams","466.0387","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1988","1988","gigagrams","504.5042","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1989","1989","gigagrams","542.3432","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1990","1990","gigagrams","545.3088","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1991","1991","gigagrams","550.8193","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1992","1992","gigagrams","542.9402","Fc","Calculated data"
