Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1961","1961","gigagrams","62.5703","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1962","1962","gigagrams","66.8307","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1963","1963","gigagrams","69.0922","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1964","1964","gigagrams","73.1393","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1965","1965","gigagrams","73.069","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1966","1966","gigagrams","66.5472","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1967","1967","gigagrams","66.9198","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1968","1968","gigagrams","55.1416","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1969","1969","gigagrams","53.2316","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1970","1970","gigagrams","54.5791","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1971","1971","gigagrams","52.8309","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1972","1972","gigagrams","49.6461","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1973","1973","gigagrams","53.1262","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1974","1974","gigagrams","52.0716","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1975","1975","gigagrams","52.3528","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1976","1976","gigagrams","49.4001","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1977","1977","gigagrams","49.7047","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1978","1978","gigagrams","53.3605","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1979","1979","gigagrams","56.5008","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1980","1980","gigagrams","56.782","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1981","1981","gigagrams","60.4612","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1982","1982","gigagrams","62.9687","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1983","1983","gigagrams","138.3491","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1984","1984","gigagrams","68.6164","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1985","1985","gigagrams","66.3902","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1986","1986","gigagrams","89.2154","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1987","1987","gigagrams","96.8317","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1988","1988","gigagrams","97.6987","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1989","1989","gigagrams","95.988","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1990","1990","gigagrams","103.1121","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1991","1991","gigagrams","115.7902","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1992","1992","gigagrams","121.2036","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1993","1993","gigagrams","117.7119","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1994","1994","gigagrams","117.4072","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1995","1995","gigagrams","88.278","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1996","1996","gigagrams","88.3483","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1997","1997","gigagrams","56.243","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1998","1998","gigagrams","47.5722","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","1999","1999","gigagrams","48.2752","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2000","2000","gigagrams","58.8208","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2001","2001","gigagrams","38.1984","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2002","2002","gigagrams","38.9014","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2003","2003","gigagrams","39.1357","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2004","2004","gigagrams","38.197","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2005","2005","gigagrams","39.835","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2006","2006","gigagrams","75.225","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2007","2007","gigagrams","73.1159","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2008","2008","gigagrams","70.3037","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2009","2009","gigagrams","75.8812","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2010","2010","gigagrams","75.225","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2011","2011","gigagrams","75.9557","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2012","2012","gigagrams","74.0122","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2013","2013","gigagrams","82.7273","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2014","2014","gigagrams","80.1598","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2015","2015","gigagrams","87.3491","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2016","2016","gigagrams","95.2344","Fc","Calculated data"
"EI","Emissions intensities","106","Italy","7231","Emissions (CO2eq)","1017","Meat, goat","2017","2017","gigagrams","95.9519","Fc","Calculated data"
