Domain,Area,Element,Item,Year,Value
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1961","4076.6541"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1962","4157.0781"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1963","4244.5488"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1964","4089.6751"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1965","3574.8084"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1966","3097.7792"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1967","3122.5957"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1968","3393.8927"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1969","3660.1344"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1970","3713.2908"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1971","3674.9937"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1972","3616.782"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1973","3652.0154"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1974","3730.1416"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1975","3690.3125"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1976","3750.0561"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1977","3907.8403"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1978","4031.923"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1979","4140.6869"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1980","4329.1089"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1981","4485.3612"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1982","4632.4222"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1983","4781.0151"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1984","4914.2892"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1985","4955.6501"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1986","5027.6487"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1987","5019.9893"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1988","5024.5849"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1989","5030.7125"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1990","5154.7952"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1991","5298.7925"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1992","5456.5767"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1993","5527.0434"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1994","5522.4478"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1995","5474.9593"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1996","5352.4085"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1997","5255.8997"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1998","5219.1344"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","1999","5176.2416"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2000","5111.9024"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2001","5072.0734"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2002","5124.1575"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2003","5076.6691"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2004","5053.6908"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2005","4989.3516"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2006","4993.9472"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2007","5062.8821"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2008","5128.7532"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2009","5159.3909"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2010","5127.2213"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2011","4948.6034"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2012","4947.0715"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2013","4812.572"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2014","4700.7443"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2015","4580.7977"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2016","4523.6583"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, cattle","2017","4549.5472"
