Domain,Area,Element,Item,Year,Value
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1961","67.8073"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1962","83.8713"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1963","111.5398"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1964","171.254"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1965","189.9048"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1966","235.456"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1967","291.0756"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1968","328.0609"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1969","373.7578"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1970","444.7068"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1971","470.0338"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1972","466.8456"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1973","510.6403"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1974","535.3929"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1975","523.3683"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1976","511.6642"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1977","561.6856"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1978","619.4149"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1979","660.8254"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1980","677.5154"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1981","677.8361"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1982","723.2624"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1983","757.3925"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1984","801.8241"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1985","832.8409"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1986","861.3478"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1987","864.6817"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1988","861.2937"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1989","851.7123"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1990","836.1706"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1991","800.0926"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1992","788.4426"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1993","773.1215"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1994","732.5816"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1995","694.6972"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1996","679.4053"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1997","670.9435"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1998","656.4757"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","1999","637.2421"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2000","646.9193"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2001","637.6042"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2002","623.024"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2003","610.3584"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2004","592.2154"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2005","541.9193"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2006","598.2173"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2007","606.7082"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2008","591.5661"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2009","605.3471"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2010","607.4082"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2011","171.4579"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2012","175.3538"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2013","721.4061"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2014","736.9062"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2015","617.0114"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2016","730.7128"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, chicken","2017","739.7157"
