Domain,Area,Element,Item,Year,Value
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1961","388.456"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1962","489.8455"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1963","503.252"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1964","555.2735"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1965","611.9075"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1966","564.3247"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1967","618.4371"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1968","677.2869"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1969","763.4777"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1970","821.0702"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1971","860.6993"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1972","842.7846"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1973","840.5409"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1974","839.5754"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1975","808.6987"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1976","817.854"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1977","835.734"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1978","860.0881"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1979","859.4073"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1980","846.6399"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1981","857.3859"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1982","870.7925"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1983","870.5146"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1984","881.9206"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1985","886.3315"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1986","900.5925"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1987","939.1658"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1988","961.6512"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1989","965.4648"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1990","951.3845"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1991","967.6182"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1992","1008.8172"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1993","1028.5241"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1994","1025.6483"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1995","1018.5491"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1996","1010.9498"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1997","1015.2287"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1998","1009.3035"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","1999","994.3618"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2000","975.03"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2001","967.2709"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2002","956.6429"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2003","953.7323"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2004","953.1558"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2005","937.7626"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2006","951.0719"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2007","991.7013"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2008","990.0203"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2009","971.8694"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2010","972.9518"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2011","954.1005"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2012","941.076"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2013","924.4603"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2014","927.3847"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2015","1052.253"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2016","934.7687"
"Emissions intensities","Japan","Emissions (CO2eq)","Eggs, hen, in shell","2017","945.4106"
