Domain,Area,Element,Item,Year,Value
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1961","219.5809"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1962","163.4694"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1963","126.1698"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1964","88.8702"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1965","67.1587"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1966","47.4418"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1967","36.7482"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1968","27.0535"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1969","20.6542"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1970","6.9384"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1971","8.5315"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1972","6.952"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1973","5.6014"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1974","5.183"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1975","3.9116"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1976","3.3051"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1977","3.477"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1978","3.5678"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1979","3.8597"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1980","3.8921"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1981","5.1571"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1982","6.1625"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1983","6.7139"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1984","7.2004"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1985","7.7518"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1986","8.4978"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1987","8.8222"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1988","9.2438"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1989","9.6655"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1990","9.9574"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1991","6.1226"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1992","5.881"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1993","5.4441"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1994","4.9446"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1995","3.8928"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1996","3.4685"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1997","3.1105"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1998","2.4245"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","1999","2.2192"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2000","1.8131"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2001","1.8128"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2002","2.0145"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2003","2.0139"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2004","2.0135"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2005","1.8115"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2006","1.6107"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2007","1.9114"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2008","1.8102"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2009","2.2153"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2010","2.2149"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2011","2.3165"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2012","2.3778"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2013","2.4183"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2014","2.4796"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2015","2.5435"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2016","2.6927"
"Emissions intensities","Japan","Emissions (CO2eq)","Meat, sheep","2017","2.7874"
