Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1961","1961","gigagrams","25876.6614","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1962","1962","gigagrams","26539.4379","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1963","1963","gigagrams","27763.1535","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1964","1964","gigagrams","29015.25","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1965","1965","gigagrams","30247.313","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1966","1966","gigagrams","32210.6004","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1967","1967","gigagrams","33033.6585","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1968","1968","gigagrams","33502.764","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1969","1969","gigagrams","33911.7955","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1970","1970","gigagrams","35723.1485","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1971","1971","gigagrams","34876.7446","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1972","1972","gigagrams","34851.6893","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1973","1973","gigagrams","34824.9779","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1974","1974","gigagrams","36185.5895","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1975","1975","gigagrams","38135.5345","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1976","1976","gigagrams","39968.6038","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1977","1977","gigagrams","40938.5612","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1978","1978","gigagrams","41372.608","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1979","1979","gigagrams","41574.6262","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1980","1980","gigagrams","43534.5613","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1981","1981","gigagrams","45330.9158","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1982","1982","gigagrams","46522.9117","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1983","1983","gigagrams","47137.2737","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1984","1984","gigagrams","47831.7699","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1985","1985","gigagrams","49414.687","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1986","1986","gigagrams","50688.2061","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1987","1987","gigagrams","48894.3625","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1988","1988","gigagrams","49023.7524","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1989","1989","gigagrams","51892.369","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1990","1990","gigagrams","50303.0679","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1991","1991","gigagrams","49976.6413","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1992","1992","gigagrams","48997.233","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1993","1993","gigagrams","50654.296","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1994","1994","gigagrams","50335.5957","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1995","1995","gigagrams","49478.2134","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1996","1996","gigagrams","47748.8577","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","867","Meat, cattle","1997","1997","gigagrams","48499.705","Fc","Calculated data"
