Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1961","1961","gigagrams","2093.2387","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1962","1962","gigagrams","2124.6373","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1963","1963","gigagrams","2260.6978","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1964","1964","gigagrams","2407.2246","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1965","1965","gigagrams","2511.8865","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1966","1966","gigagrams","2574.6837","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1967","1967","gigagrams","2637.4808","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1968","1968","gigagrams","2679.3456","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1969","1969","gigagrams","2804.9399","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1970","1970","gigagrams","2930.5342","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1971","1971","gigagrams","2796.567","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1972","1972","gigagrams","2784.0075","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1973","1973","gigagrams","2721.2104","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1974","1974","gigagrams","2894.9492","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1975","1975","gigagrams","3051.9421","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1976","1976","gigagrams","3202.6553","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1977","1977","gigagrams","3271.7322","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1978","1978","gigagrams","3307.3172","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1979","1979","gigagrams","3328.2496","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1980","1980","gigagrams","3485.2425","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1981","1981","gigagrams","3621.303","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1982","1982","gigagrams","3721.7785","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1983","1983","gigagrams","3855.7458","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1984","1984","gigagrams","3826.4404","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1985","1985","gigagrams","3956.2212","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1986","1986","gigagrams","4056.6967","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1987","1987","gigagrams","3912.2632","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1988","1988","gigagrams","3924.8226","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1989","1989","gigagrams","4155.0789","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1990","1990","gigagrams","4025.2981","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1991","1991","gigagrams","3949.9415","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1992","1992","gigagrams","3786.6689","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1993","1993","gigagrams","3417.3211","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1994","1994","gigagrams","3387.6473","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1995","1995","gigagrams","3522.3096","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1996","1996","gigagrams","3545.017","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1997","1997","gigagrams","3601.5596","Fc","Calculated data"
