Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1961","1961","gigagrams","167.444","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1962","1962","gigagrams","175.8764","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1963","1963","gigagrams","184.9112","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1964","1964","gigagrams","193.9459","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1965","1965","gigagrams","218.3397","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1966","1966","gigagrams","183.7065","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1967","1967","gigagrams","180.695","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1968","1968","gigagrams","175.2741","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1969","1969","gigagrams","171.0579","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1970","1970","gigagrams","163.2278","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1971","1971","gigagrams","156.6023","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1972","1972","gigagrams","159.6139","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1973","1973","gigagrams","166.2394","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1974","1974","gigagrams","196.3552","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1975","1975","gigagrams","196.9756","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1976","1976","gigagrams","212.0577","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1977","1977","gigagrams","222.8571","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1978","1978","gigagrams","216.834","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1979","1979","gigagrams","240.9266","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1980","1980","gigagrams","294.6834","Fc","Calculated data"
"EI","Emissions intensities","138","Mexico","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1981","1981","gigagrams","295.1351","Fc","Calculated data"
