Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1961","1961","gigagrams","6154.2014","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1962","1962","gigagrams","6443.1263","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1963","1963","gigagrams","6765.742","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1964","1964","gigagrams","7091.4206","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1965","1965","gigagrams","7387.492","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1966","1966","gigagrams","7673.354","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1967","1967","gigagrams","7991.886","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1968","1968","gigagrams","8361.4648","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1969","1969","gigagrams","8757.5879","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1970","1970","gigagrams","9073.0571","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1971","1971","gigagrams","9395.6728","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1972","1972","gigagrams","9749.9376","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1973","1973","gigagrams","10183.8353","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1974","1974","gigagrams","10467.6555","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1975","1975","gigagrams","10768.8316","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1976","1976","gigagrams","11191.499","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1977","1977","gigagrams","11457.9633","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1978","1978","gigagrams","11818.3536","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1979","1979","gigagrams","12125.6553","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1980","1980","gigagrams","12361.4915","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1981","1981","gigagrams","12469.7107","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1982","1982","gigagrams","12645.3117","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1983","1983","gigagrams","12847.457","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1984","1984","gigagrams","12967.9274","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1985","1985","gigagrams","13178.2402","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1986","1986","gigagrams","13431.4323","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1987","1987","gigagrams","13695.8547","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1988","1988","gigagrams","14047.0566","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1989","1989","gigagrams","14226.1061","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1990","1990","gigagrams","14160.3805","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1991","1991","gigagrams","14182.7731","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1992","1992","gigagrams","14198.745","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1993","1993","gigagrams","14947.9985","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1994","1994","gigagrams","14984.7579","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1995","1995","gigagrams","15106.222","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1996","1996","gigagrams","15157.152","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1997","1997","gigagrams","15453.566","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1998","1998","gigagrams","15396.9607","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","1999","1999","gigagrams","15334.6837","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2000","2000","gigagrams","15348.9768","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2001","2001","gigagrams","15364.4042","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2002","2002","gigagrams","15294.3","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2003","2003","gigagrams","15309.1603","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2004","2004","gigagrams","15850.5966","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2005","2005","gigagrams","15937.451","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2006","2006","gigagrams","15978.1931","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2007","2007","gigagrams","16110.0277","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2008","2008","gigagrams","16537.1192","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2009","2009","gigagrams","16410.952","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2010","2010","gigagrams","16721.6931","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2011","2011","gigagrams","18990.8478","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2012","2012","gigagrams","19122.0472","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2013","2013","gigagrams","19294.5865","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2014","2014","gigagrams","19707.7479","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2015","2015","gigagrams","20435.8419","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2016","2016","gigagrams","20817.0548","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","867","Meat, cattle","2017","2017","gigagrams","21042.2449","Fc","Calculated data"
