Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1961,1961,gigagrams,69.4499,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1962,1962,gigagrams,71.0324,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1963,1963,gigagrams,73.0219,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1964,1964,gigagrams,75.2826,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1965,1965,gigagrams,77.9503,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1966,1966,gigagrams,80.8892,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1967,1967,gigagrams,84.2803,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1968,1968,gigagrams,88.0332,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1969,1969,gigagrams,92.2834,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1970,1970,gigagrams,96.9405,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1971,1971,gigagrams,97.6187,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1972,1972,gigagrams,103.2705,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1973,1973,gigagrams,109.465,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1974,1974,gigagrams,111.6805,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1975,1975,gigagrams,114.7551,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1976,1976,gigagrams,122.5773,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1977,1977,gigagrams,126.737,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1978,1978,gigagrams,131.575,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1979,1979,gigagrams,137.1816,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1980,1980,gigagrams,143.6021,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1981,1981,gigagrams,155.4032,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1982,1982,gigagrams,158.9751,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1983,1983,gigagrams,168.0633,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1984,1984,gigagrams,169.058,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1985,1985,gigagrams,180.1809,Fc,Calculated data
EI,Emissions intensities,159,Nigeria,7231,Emissions (CO2eq),1058,"Meat, chicken",1986,1986,gigagrams,187.9126,Fc,Calculated data
